problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.210,5.16796875,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.030,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.040,14.96484375,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,2.65%,0.510,2.98828125,,0,0,0,0,0,0,0
d1p1,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,0.020,8.05859375,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.56%,0.020,6.97265625,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,2.30%,4.820,18.62890625,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.010,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.010,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.040,0.00390625,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,6,41.94%,0.010,0.00390625,,3,3,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.010,0.00390625,,1,4,5,5,0,0,0
TOTAL,,96,40.59%,,,37.50%,,,,,,,
