problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,deepseek-chat,TIME_LIMIT_EXCEEDED,0,9.21%,2.410,15.21875
2024-sp_Ski_2,deepseek-chat,RUNTIME_ERROR,0,1.69%,0.040,0.00390625
2024-sp_Spy_3,deepseek-chat,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,deepseek-chat,MEMORY_LIMIT_EXCEEDED,0,2.56%,0.380,1124.83984375
2024-sp_Tricolor_Lights,deepseek-chat,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,deepseek-chat,TIME_LIMIT_EXCEEDED,30,76.69%,5.980,25.97265625
2024-sp_Card_Collection,deepseek-chat,RUNTIME_ERROR,0,3.10%,0.000,0
2024-sp_JOI_Tour,deepseek-chat,TIME_LIMIT_EXCEEDED,52,55.41%,3.600,44.875
2024-sp_Tower,deepseek-chat,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Escape_Route_2,deepseek-chat,RUNTIME_ERROR,0,4.59%,0.100,4.7109375
2024-sp_Island_Hopping,deepseek-chat,RUNTIME_ERROR,0,0.86%,0.020,1.54296875
2024-sp_Table_Tennis,deepseek-chat,RUNTIME_ERROR,0,0.92%,0.040,0.00390625
