Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Astral_Superposition,bronze_Astral_Superposition_rel,bronze_Cow_Checkups,bronze_Cow_Checkups_rel,bronze_Its_Mooin_Time_II,bronze_Its_Mooin_Time_II_rel,gold_Median_Heap,gold_Median_Heap_rel,gold_Photo_Op,gold_Photo_Op_rel,gold_Reachable_Pairs,gold_Reachable_Pairs_rel,platinum_DFS_Order,platinum_DFS_Order_rel,platinum_Shock_Wave,platinum_Shock_Wave_rel,platinum_Watering_the_Plants,platinum_Watering_the_Plants_rel,silver_Cow_Checkups,silver_Cow_Checkups_rel,silver_Farmer_Johns_Favorite_Operation,silver_Farmer_Johns_Favorite_Operation_rel,silver_Table_Recovery,silver_Table_Recovery_rel
gpt-5,3310.00,84.60%,84.97%,75.00%,0.593,20.79,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,100.91%,200.00,60.61%,333.00,104.06%,333.00,104.06%,51.00,15.69%,62.00,19.38%,333.00,104.06%,333.00,100.91%,333.00,102.78%
grok-4-fast-reasoning,2952.00,82.42%,82.96%,72.73%,0.620,15.34,11,333.00,100.91%,333.00,100.91%,N/A,N/A,333.00,100.91%,200.00,60.61%,333.00,104.06%,333.00,104.06%,26.00,8.00%,62.00,19.38%,333.00,104.06%,333.00,100.91%,333.00,102.78%
gpt-oss-120b-high,2762.00,70.48%,72.76%,66.67%,0.402,17.28,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,100.91%,22.00,6.67%,50.00,15.62%,333.00,104.06%,26.00,8.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,333.00,102.78%
gpt-oss-120b-medium,2740.00,69.92%,70.31%,66.67%,0.258,16.61,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,50.00,15.62%,333.00,104.06%,26.00,8.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,333.00,102.78%
gpt-oss-120b_sp2,2714.00,69.26%,69.72%,66.67%,0.115,14.35,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,50.00,15.62%,333.00,104.06%,0.00,0.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,333.00,102.78%
gpt-oss-120b_sp1,2407.00,61.51%,60.31%,50.00%,0.234,16.81,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,0.00,0.00%,50.00,15.62%,333.00,104.06%,26.00,8.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,333.00,102.78%
gpt-oss-120b_sp4,2381.00,60.69%,62.50%,58.33%,0.235,12.50,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,50.00,15.62%,333.00,104.06%,0.00,0.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,0.00,0.00%
gpt-oss-20b-medium,2381.00,60.69%,62.50%,58.33%,0.263,16.41,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,50.00,15.62%,333.00,104.06%,0.00,0.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,0.00,0.00%
gpt-oss-20b-high,2331.00,101.81%,100.00%,100.00%,0.256,15.57,7,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,100.91%,N/A,N/A,N/A,N/A,333.00,104.06%,N/A,N/A,N/A,N/A,333.00,104.06%,333.00,100.91%,N/A,N/A
gpt-o3-mini-high,2299.00,58.51%,61.08%,50.00%,0.799,18.63,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,50.00,15.62%,117.00,36.56%,51.00,15.69%,0.00,0.00%,333.00,104.06%,333.00,100.91%,83.00,25.62%
gemini-2.5-pro,2121.00,53.90%,55.83%,50.00%,0.431,35.47,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,67.00,20.94%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,56.00,17.28%
gpt-oss-120b_sp3,2096.00,53.50%,55.22%,50.00%,0.178,29.34,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,22.00,6.67%,50.00,15.62%,333.00,104.06%,26.00,8.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,0.00,0.00%
gemini-2.5-flash,1898.00,48.22%,50.29%,41.67%,0.812,51.67,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,133.00,40.30%,67.00,20.30%,33.00,10.31%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,0.00,0.00%
