problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.040,0,,11,39,0,0,0
dirigent,TIME_LIMIT_EXCEEDED,15,21.43%,53.57%,1.260,1.6171875,,15,0,0,0,0
baltazar,TIME_LIMIT_EXCEEDED,15,13.64%,40.62%,4.810,24.5234375,,15,0,0,0,0
bomboni,MEMORY_LIMIT_EXCEEDED,63,57.27%,60.00%,0.240,611.5390625,,13,17,33,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
kalendar,RUNTIME_ERROR,19,38.00%,47.06%,0.000,0,,0,19,0,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,28.57%,22.00%,2.410,2.07421875,,20,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,0.00%,2.50%,0.050,0.00390625,,0,0,0,0,0
zastave,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,20,28.57%,20.00%,0.050,0.00390625,,0,20,0,0,0
bojanje,MEMORY_LIMIT_EXCEEDED,0,0.00%,6.67%,0.050,1.6953125,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsta,TIME_LIMIT_EXCEEDED,45,40.91%,40.00%,1.210,126.51953125,,19,26,0,0,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.050,0.00390625,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,0,0.00%,2.38%,3.610,4.39453125,,0,0,0,0,0
prijateljice,RUNTIME_ERROR,0,0.00%,9.33%,0.000,0,,0,0,0,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
berilij,RUNTIME_ERROR,0,0.00%,2.27%,0.160,9.8046875,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
neboderi,MEMORY_LIMIT_EXCEEDED,33,30.00%,38.89%,0.430,596.5859375,,11,22,0,0,0
TOTAL,,380,,25.81%,,,12.00%,,,,,
