problem,model,status,score,%test passed,time,memory
2023-sp_Two_Currencies,gpt-oss-120b-high,ACCEPTED,100,100.00%,0.380,64.421875
2023-sp_Festivals_in_JOI_Kingdom_2,gpt-oss-120b-high,RUNTIME_ERROR,0,40.00%,0.000,0
2023-sp_Passport,gpt-oss-120b-high,RUNTIME_ERROR,6,59.76%,0.840,48.3359375
2023-sp_Belt_Conveyor,gpt-oss-120b-high,RUNTIME_ERROR,1,12.90%,0.110,11.48046875
2023-sp_Council,gpt-oss-120b-high,ACCEPTED,100,100.00%,0.580,195.171875
2023-sp_Mizuyokan_2,gpt-oss-120b-high,RUNTIME_ERROR,0,0.00%,0.130,32.85546875
2023-sp_Chorus,gpt-oss-120b-high,RUNTIME_ERROR,0,18.07%,0.050,0
2023-sp_Cookies,gpt-oss-120b-high,RUNTIME_ERROR,13,70.88%,0.050,1.55078125
2023-sp_Tourism,gpt-oss-120b-high,ACCEPTED,100,100.00%,4.280,29.890625
2023-sp_Super_Dango_Maker,gpt-oss-120b-high,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Security_Guard,gpt-oss-120b-high,RUNTIME_ERROR,50,78.68%,0.180,35.18359375
2023-sp_Bitaro’s_travel,gpt-oss-120b-high,RUNTIME_ERROR,0,5.17%,0.050,0.00390625
