Model,Contest Count,Total Tasks,Total Score,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Rank
gpt-oss-120b-high,22,132,35187.0,100,22,75.76,70.5,11,9,1,21,1
gpt-5,22,132,35966.0,100,25,75.76,72.0,11,8,1,20,2
grok-4-fast-reasoning,22,132,29825.0,77,33,58.33,57.99,9,8,3,20,3
gpt-oss-20b-high,22,132,29543.0,85,16,64.39,54.19,3,9,6,18,4
gpt-oss-120b_sp1,22,132,28300.0,76,32,57.58,51.55,3,8,6,17,5
gpt-oss-120b-medium,22,132,28794.0,78,30,59.09,52.04,6,7,3,16,6
gpt-oss-120b_sp3,22,132,27775.0,74,36,56.06,50.21,4,7,5,16,7
gpt-oss-120b_sp4,22,132,28449.0,78,28,59.09,51.02,5,6,4,15,8
gpt-oss-120b_sp2,22,132,28586.0,78,28,59.09,51.31,4,4,7,15,9
seed-oss_-1,22,132,25908.0,69,38,52.27,45.85,3,5,7,15,10
gemini-2.5-pro,22,132,27453.0,70,41,53.03,48.23,5,3,6,14,11
gpt-oss-20b-medium,22,132,25027.0,67,29,50.76,43.14,3,5,6,14,12
gpt-o3-mini-high,22,132,27828.0,71,44,53.79,48.83,4,6,3,13,13
claude-sonnet-4.5,22,132,21066.0,40,81,30.3,38.67,0,4,9,13,14
gpt-oss-120b-low,22,132,20447.0,51,34,38.64,34.98,1,3,7,11,15
gemini-2.5-flash,22,132,23539.0,58,48,43.94,38.72,0,3,8,11,16
deepseek-reasoner,22,132,20145.0,48,45,36.36,35.24,0,3,8,11,17
Qwen3-32B,22,132,18864.0,44,52,33.33,32.57,0,1,10,11,18
seed-oss_16384,22,132,16516.0,40,32,30.3,28.1,2,3,4,9,19
seed-oss_8192,22,132,19314.0,47,44,35.61,32.46,1,4,4,9,20
OpenCodeReasoning-Nemotron-32B-IOI,22,132,17738.0,40,41,30.3,29.45,0,1,8,9,21
Qwen3-14B,22,132,14969.0,30,52,22.73,25.34,0,1,7,8,22
gpt-oss-20b-low,22,132,15765.0,38,40,28.79,24.68,0,2,4,6,23
Qwen3-30B,22,132,14518.0,29,53,21.97,24.94,0,2,4,6,24
QwQ-32B,22,132,15481.0,35,43,26.52,25.19,0,1,5,6,25
Qwen3-8B,22,132,13388.0,26,49,19.7,23.28,0,1,5,6,26
DeepSeek-R1-Distill-Qwen-32B,22,132,11985.0,23,44,17.42,19.62,0,0,6,6,27
DeepSeek-R1-Distill-Llama-70B,22,132,12681.0,26,46,19.7,21.17,0,1,4,5,28
seed-oss_4096,22,132,11631.0,28,25,21.21,17.71,0,1,3,4,29
gpt-4.1,22,132,13445.0,24,64,18.18,23.18,0,0,4,4,30
Qwen3-4B,22,132,10174.0,20,42,15.15,16.41,0,0,4,4,31
deepseek-chat,22,132,11688.0,22,49,16.67,19.94,0,1,2,3,32
seed-oss_512,22,132,5839.0,11,31,8.33,9.03,1,0,1,2,33
OlympicCoder-7B,22,132,8185.0,15,41,11.36,12.82,0,0,2,2,34
seed-oss_2048,22,132,8096.0,17,32,12.88,12.58,0,0,2,2,35
seed-oss_1024,22,132,6572.0,14,27,10.61,10.09,0,0,2,2,36
Qwen3-30B-Non-Thinking,22,132,6474.0,9,43,6.82,10.29,0,0,1,1,37
Llama-4-Scout,22,132,4853.0,4,49,3.03,7.65,0,0,1,1,38
seed-oss_0,22,132,3093.0,4,29,3.03,4.91,0,0,1,1,39
DeepSeek-R1-Distill-Qwen-14B,22,132,7037.0,13,29,9.85,10.94,0,0,0,0,40
Qwen3-32B-Non-Thinking,22,132,5587.0,8,40,6.06,9.03,0,0,0,0,41
Qwen3-14B-Non-Thinking,22,132,4687.0,4,43,3.03,7.53,0,0,0,0,42
Qwen2.5-Coder-32B-Instruct,22,132,4578.0,4,39,3.03,7.13,0,0,0,0,43
Llama-3.3-70B-Instruct,22,132,4259.0,3,45,2.27,6.83,0,0,0,0,44
Mistral-Large-Instruct-2411,22,132,4053.0,3,43,2.27,6.77,0,0,0,0,45
Qwen3-8B-Non-Thinking,22,132,3654.0,3,28,2.27,5.54,0,0,0,0,46
Qwen2.5-Coder-14B-Instruct,22,132,3420.0,1,43,0.76,5.42,0,0,0,0,47
Qwen2.5-72B,22,132,3224.0,2,38,1.52,5.17,0,0,0,0,48
Qwen3-4B-Non-Thinking,22,132,2555.0,3,22,2.27,3.88,0,0,0,0,49
Qwen2.5-Coder-7B-Instruct,22,132,1930.0,1,28,0.76,3.11,0,0,0,0,50
Mistral-Small-3.1-24B-2503,22,132,1834.0,0,27,0.0,2.83,0,0,0,0,51
DeepSeek-Coder-V2-Lite-Instruct,22,132,1488.0,0,27,0.0,2.31,0,0,0,0,52
Codestral-22B-v0.1,22,132,1449.0,0,22,0.0,2.25,0,0,0,0,53
DeepSeek-R1-Distill-Llama-8B,22,132,1254.0,2,5,1.52,1.9,0,0,0,0,54
Llama-3.1-8B-Instruct,22,132,643.0,0,16,0.0,1.25,0,0,0,0,55
DeepSeek-R1-Distill-Qwen-7B,12,72,18.0,0,0,0.0,0.05,0,0,0,0,56
