Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gemini-2.5-pro,2,12,629.0,629.0,52.415,64.585,33.335,0,1,1,2,74.64507542147294,1
gpt-o3-mini-high,2,12,609.0,609.0,50.75,55.75500000000001,33.335,0,1,1,2,75.86512866015971,2
gemini-2.5-flash,2,12,515.0,515.0,42.915,48.120000000000005,25.0,0,0,2,2,64.51863354037268,3
deepseek-reasoner,2,12,278.0,278.0,23.165000000000003,32.96999999999999,8.334999999999999,0,0,1,1,39.87355811889974,4
Qwen3-32B,2,12,259.0,259.0,21.584999999999997,33.18000000000001,8.334999999999999,0,0,1,1,36.06921029281278,5
QwQ-32B,2,12,229.0,229.0,19.085,24.815,8.334999999999999,0,0,1,1,32.797249334516415,6
Qwen3-14B,2,12,239.0,239.0,19.92,26.46,8.334999999999999,0,0,0,0,29.78039041703638,7
Qwen3-30B,2,12,226.0,226.0,18.83,27.885000000000005,8.334999999999999,0,0,0,0,27.639751552795033,8
Qwen3-4B,2,12,214.0,214.0,17.83,22.86,8.334999999999999,0,0,0,0,26.619343389529725,9
gpt-4.1,2,12,203.0,203.0,16.915,24.939999999999998,8.334999999999999,0,0,0,0,25.74312333629104,10
deepseek-chat,2,12,201.0,201.0,16.75,24.530000000000005,8.334999999999999,0,0,0,0,25.46583850931677,11
DeepSeek-R1-Distill-Qwen-32B,2,12,180.0,180.0,15.0,19.94,8.334999999999999,0,0,0,0,23.96850044365572,12
Qwen3-8B,2,12,170.0,170.0,14.165000000000001,20.929999999999996,8.334999999999999,0,0,0,0,21.92768411712511,13
Qwen3-32B-Non-Thinking,2,12,148.0,148.0,12.334999999999999,16.625,8.334999999999999,0,0,0,0,21.384205856255544,14
DeepSeek-R1-Distill-Llama-70B,2,12,139.0,139.0,11.585,18.799999999999997,8.334999999999999,0,0,0,0,18.09006211180124,15
Llama-3.3-70B-Instruct,2,12,133.0,133.0,11.084999999999999,18.43,0.0,0,0,0,0,18.35625554569654,16
Qwen2.5-72B,2,12,83.0,83.0,6.915,13.13,0.0,0,0,0,0,12.477817213842059,17
Qwen2.5-Coder-14B-Instruct,2,12,73.0,73.0,6.080000000000001,11.265,0.0,0,0,0,0,10.437000887311447,18
Qwen3-14B-Non-Thinking,2,12,71.0,71.0,5.915,9.944999999999999,0.0,0,0,0,0,10.437000887311447,19
DeepSeek-R1-Distill-Qwen-14B,2,12,51.0,51.0,4.25,7.95,0.0,0,0,0,0,7.885980479148181,20
Qwen2.5-Coder-32B-Instruct,2,12,43.0,43.0,3.5849999999999995,10.315000000000001,0.0,0,0,0,0,9.039485359361136,21
Mistral-Large-Instruct-2411,2,12,34.0,34.0,2.83,9.885,0.0,0,0,0,0,7.885980479148181,22
Mistral-Small-3.1-24B-2503,2,12,29.0,29.0,2.415,7.61,0.0,0,0,0,0,6.865572315882875,23
Qwen3-4B-Non-Thinking,2,12,29.0,29.0,2.415,7.5200000000000005,0.0,0,0,0,0,6.865572315882875,24
DeepSeek-R1-Distill-Llama-8B,2,12,24.0,24.0,2.0,4.455,0.0,0,0,0,0,4.148181011535049,25
Qwen3-8B-Non-Thinking,2,12,24.0,24.0,2.0,6.860000000000001,0.0,0,0,0,0,4.148181011535049,26
Codestral-22B-v0.1,2,12,7.0,7.0,0.585,4.59,0.0,0,0,0,0,2.6175687666370893,27
Qwen2.5-Coder-7B-Instruct,2,12,7.0,7.0,0.585,5.0,0.0,0,0,0,0,2.6175687666370893,28
DeepSeek-Coder-V2-Lite-Instruct,2,12,7.0,7.0,0.585,6.335,0.0,0,0,0,0,2.6175687666370893,29
Qwen3-30B-Non-Thinking,2,12,5.0,5.0,0.415,5.46,0.0,0,0,0,0,5.334960070984915,30
DeepSeek-R1-Distill-Qwen-7B,2,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.6175687666370893,31
Llama-3.1-8B-Instruct,2,12,0.0,0.0,0.0,1.86,0.0,0,0,0,0,2.6175687666370893,32
