Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
grok-4-fast-reasoning,3,18,686.0,686.0,38.11,62.06999999999999,16.669999999999998,0,1,2,3,62.856125356125354,1
gpt-5,3,18,771.0,771.0,42.833333333333336,62.40333333333334,27.779999999999994,0,1,1,2,66.16059379217273,2
gpt-oss-120b_sp1,3,18,653.0,653.0,36.27666666666667,44.773333333333326,22.223333333333333,0,1,1,2,53.578122657070026,3
gpt-oss-20b-high,3,18,633.0,633.0,35.166666666666664,55.35333333333333,22.223333333333333,0,1,1,2,52.60533813165392,4
claude-sonnet-4.5,3,18,518.0,518.0,28.776666666666667,58.663333333333334,5.556666666666667,0,0,2,2,46.46873594242015,5
gemini-2.5-pro,3,18,692.0,692.0,38.446666666666665,60.243333333333325,22.223333333333333,0,1,0,1,55.049482681061626,6
gpt-oss-120b-high,3,18,611.0,611.0,33.946666666666665,49.723333333333336,27.779999999999994,0,1,0,1,47.85575048732943,7
gpt-oss-120b_sp2,3,18,568.0,568.0,31.556666666666665,41.263333333333335,22.223333333333333,0,1,0,1,47.76203328834908,8
gpt-oss-120b-medium,3,18,556.0,556.0,30.88666666666667,46.70666666666666,22.223333333333333,0,1,0,1,44.354475933423295,9
gpt-oss-120b_sp4,3,18,541.0,541.0,30.053333333333335,42.63000000000001,22.223333333333333,0,1,0,1,43.108037186984554,10
gpt-oss-20b-medium,3,18,534.0,534.0,29.663333333333338,42.68666666666667,22.223333333333333,0,1,0,1,44.27200479832059,11
seed-oss_-1,3,18,526.0,526.0,29.223333333333333,46.70333333333333,22.223333333333333,0,1,0,1,46.90733243364823,12
gpt-o3-mini-high,3,18,525.0,525.0,29.166666666666668,42.36333333333334,16.666666666666664,0,1,0,1,46.57932223721698,13
gpt-oss-120b_sp3,3,18,515.0,515.0,28.61,41.30333333333333,22.223333333333333,0,1,0,1,43.16801619433198,14
gemini-2.5-flash,3,18,408.0,408.0,22.666666666666668,45.77333333333333,5.556666666666667,0,0,1,1,33.623856650172435,15
seed-oss_16384,2,12,362.0,362.0,30.17,53.08500000000001,16.669999999999998,0,0,1,1,55.921052631578945,16
seed-oss_8192,2,12,358.0,358.0,29.834999999999997,39.98,25.0,0,0,1,1,48.28216374269006,17
gpt-oss-120b-low,3,18,311.0,311.0,17.276666666666667,31.986666666666668,11.110000000000001,0,0,1,1,26.501349527665315,18
Qwen3-32B,3,18,225.0,225.0,12.5,30.22333333333333,5.556666666666667,0,0,1,1,21.07699805068226,19
deepseek-reasoner,3,18,273.0,273.0,15.166666666666666,38.233333333333334,5.556666666666667,0,0,0,0,24.26900584795322,20
Qwen3-30B,3,18,191.0,191.0,10.613333333333335,29.24333333333334,5.556666666666667,0,0,0,0,18.153021442495128,21
gpt-4.1,3,18,178.0,178.0,9.886666666666668,32.49999999999999,0.0,0,0,0,0,14.659244264507423,22
gpt-oss-20b-low,3,18,79.0,79.0,4.39,19.383333333333333,0.0,0,0,0,0,8.91812865497076,23
OlympicCoder-7B,3,18,73.0,73.0,4.056666666666667,14.950000000000003,0.0,0,0,0,0,4.340980656770131,24
Qwen2.5-72B,3,18,52.0,52.0,2.8866666666666667,15.636666666666665,0.0,0,0,0,0,4.45906432748538,25
seed-oss_4096,2,12,51.0,51.0,4.25,16.88,0.0,0,0,0,0,6.615497076023392,26
DeepSeek-R1-Distill-Llama-70B,3,18,51.0,51.0,2.8333333333333335,17.08,0.0,0,0,0,0,4.45906432748538,27
QwQ-32B,3,18,47.0,47.0,2.6100000000000003,19.24,0.0,0,0,0,0,3.947368421052632,28
Qwen3-14B,3,18,46.0,46.0,2.5566666666666666,26.200000000000003,0.0,0,0,0,0,4.483430799220272,29
Llama-4-Scout,3,18,42.0,42.0,2.3333333333333335,12.156666666666666,0.0,0,0,0,0,4.02046783625731,30
Qwen3-4B,3,18,42.0,42.0,2.3333333333333335,12.743333333333334,0.0,0,0,0,0,2.631578947368421,31
Mistral-Large-Instruct-2411,3,18,39.0,39.0,2.1666666666666665,14.903333333333332,0.0,0,0,0,0,3.0701754385964914,32
Qwen2.5-Coder-14B-Instruct,3,18,38.0,38.0,2.1100000000000003,10.209999999999999,0.0,0,0,0,0,3.0945419103313836,33
Qwen2.5-Coder-32B-Instruct,3,18,36.0,36.0,2.0,11.61,0.0,0,0,0,0,3.0589293747188484,34
Qwen3-30B-Non-Thinking,3,18,32.0,32.0,1.7766666666666666,13.643333333333333,0.0,0,0,0,0,3.0945419103313836,35
Qwen3-8B,3,18,30.0,30.0,1.6666666666666667,18.103333333333335,0.0,0,0,0,0,2.631578947368421,36
DeepSeek-R1-Distill-Qwen-32B,3,18,26.0,26.0,1.4433333333333334,8.123333333333333,0.0,0,0,0,0,3.0701754385964914,37
OlympicCoder-32B,1,6,26.0,26.0,4.33,19.15,0.0,0,0,0,0,6.944444444444445,38
Qwen3-32B-Non-Thinking,3,18,22.0,22.0,1.2233333333333334,13.51333333333333,0.0,0,0,0,0,2.631578947368421,39
DeepSeek-R1-Distill-Qwen-14B,3,18,22.0,22.0,1.2233333333333334,10.929999999999998,0.0,0,0,0,0,2.631578947368421,40
Qwen3-4B-Non-Thinking,3,18,22.0,22.0,1.2233333333333334,7.116666666666665,0.0,0,0,0,0,2.631578947368421,41
Llama-3.3-70B-Instruct,3,18,21.0,21.0,1.1666666666666667,9.223333333333333,0.0,0,0,0,0,2.631578947368421,42
Mistral-Small-3.1-24B-2503,3,18,21.0,21.0,1.1666666666666667,7.256666666666667,0.0,0,0,0,0,2.631578947368421,43
Qwen3-14B-Non-Thinking,3,18,21.0,21.0,1.1666666666666667,6.693333333333334,0.0,0,0,0,0,2.631578947368421,44
deepseek-chat,3,18,21.0,21.0,1.1666666666666667,16.333333333333332,0.0,0,0,0,0,2.217348927875244,45
Qwen3-8B-Non-Thinking,3,18,20.0,20.0,1.11,10.323333333333334,0.0,0,0,0,0,2.217348927875244,46
OpenCodeReasoning-Nemotron-32B-IOI,3,18,20.0,20.0,1.1133333333333333,15.660000000000002,0.0,0,0,0,0,1.388888888888889,47
Codestral-22B-v0.1,3,18,9.0,9.0,0.5,3.7566666666666664,0.0,0,0,0,0,0.0,48
DeepSeek-Coder-V2-Lite-Instruct,3,18,9.0,9.0,0.5,5.7700000000000005,0.0,0,0,0,0,0.0,49
seed-oss_0,2,12,1.0,1.0,0.085,4.665,0.0,0,0,0,0,0.0,50
