Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gpt-5,4,32,2466.0,2413.0,75.4084375,81.51375,58.855937499999996,4,0,0,4,94.37466472390221,1
gpt-oss-120b-high,4,32,2464.0,2411.0,75.3440625,79.2459375,62.328437500000014,2,2,0,4,91.98070404155703,2
grok-4-fast-reasoning,4,32,1990.0,1990.0,62.1871875,74.2859375,41.964375,1,1,1,3,77.35580510022221,3
gpt-oss-120b_sp1,4,32,1964.0,1911.0,59.72,63.88625,47.4825,1,1,1,3,72.3080287012487,4
gpt-oss-120b-medium,4,32,1981.0,1928.0,60.2496875,67.0721875,47.485,0,3,0,3,74.57445898947674,5
gpt-oss-120b_sp2,4,32,1969.0,1916.0,59.87375,63.881875,50.609687500000014,0,2,1,3,71.96692380871397,6
gemini-2.5-pro,4,32,1939.0,1903.0,59.46875,70.0065625,34.9825,0,2,1,3,72.77210462148992,7
gpt-oss-20b-medium,4,32,1835.0,1782.0,55.6859375,58.892500000000005,47.8296875,0,2,1,3,66.55877210902173,8
gpt-o3-mini-high,4,32,1872.0,1819.0,56.8428125,65.3278125,47.8296875,0,1,2,3,66.81020691985802,9
gpt-oss-120b_sp4,4,32,1729.0,1676.0,52.3721875,59.51562499999999,38.411874999999995,0,1,2,3,64.82706358160723,10
gpt-oss-20b-high,4,32,1853.0,1800.0,56.2496875,69.3046875,55.183125,0,0,3,3,68.15278424066533,11
seed-oss_16384,4,32,1860.0,1807.0,56.4709375,62.951875,40.885312500000005,1,0,1,2,63.85640041288664,12
gpt-oss-120b_sp3,4,32,1877.0,1824.0,56.999375,61.9996875,44.36,0,1,1,2,67.58935229234885,13
seed-oss_-1,4,32,1693.0,1657.0,51.7821875,59.6221875,36.068124999999995,0,1,1,2,59.01348572900188,14
gemini-2.5-flash,4,32,1633.0,1597.0,49.905,61.9759375,29.4253125,0,1,1,2,54.750316336584504,15
gpt-oss-120b-low,4,32,1606.0,1553.0,48.531875,55.7221875,39.1928125,0,1,1,2,55.80571852766295,16
Qwen3-32B,4,32,1488.0,1435.0,44.845,54.50125,21.179062499999997,0,0,2,2,47.6214277006188,17
Qwen3-14B,4,32,1390.0,1337.0,41.7821875,52.835,27.428749999999997,0,0,2,2,46.53104960798822,18
deepseek-reasoner,4,32,1387.0,1334.0,41.6871875,52.22125,24.304062499999997,0,0,2,2,47.029430652378025,19
