Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gemini-2.5-pro,2,11,657.0,657.0,59.72727272727273,59.16636363636364,36.365454545454554,1,1,0,2,87.54127369246766,1
grok-4-fast-reasoning,2,11,592.0,592.0,53.81636363636364,54.65,36.365454545454554,1,0,1,2,83.96847693233852,2
claude-sonnet-4.5,2,11,479.0,479.0,43.54545454545455,50.117272727272734,27.27272727272727,1,0,1,2,74.2972070707992,3
gpt-5,2,11,551.0,551.0,50.092727272727274,46.852727272727265,36.36363636363637,0,2,0,2,89.10465731433679,4
gpt-oss-120b-high,2,11,424.0,424.0,38.54727272727273,42.376363636363635,18.18,0,2,0,2,82.73710710181149,5
gpt-oss-20b-medium,2,11,424.0,424.0,38.54363636363637,42.73636363636364,27.27272727272727,0,1,1,2,72.89983034460113,6
gpt-oss-120b_sp1,2,11,407.0,407.0,37.0,37.43636363636364,27.27272727272727,0,1,1,2,71.15675794005509,7
gpt-oss-120b_sp4,2,11,347.0,347.0,31.545454545454547,41.5490909090909,21.818181818181824,0,1,1,2,68.27717678822263,8
gpt-oss-120b_sp2,2,11,307.0,307.0,27.90727272727273,34.03818181818182,18.18,0,1,1,2,66.70649615995038,9
gpt-o3-mini-high,2,11,428.0,428.0,38.91090909090909,44.403636363636366,27.27272727272727,0,1,0,1,67.15343780214167,10
seed-oss_-1,2,11,421.0,421.0,38.27090909090909,39.37,18.18,0,1,0,1,67.50095773209041,11
gpt-oss-120b_sp3,2,11,395.0,395.0,35.90909090909091,41.76818181818182,32.72727272727272,0,1,0,1,66.62714121531641,12
gpt-oss-20b-high,2,11,393.0,393.0,35.72727272727273,39.027272727272724,27.27272727272727,0,1,0,1,66.10449313169272,13
gemini-2.5-flash,2,11,378.0,378.0,34.36545454545455,43.00272727272728,18.18,0,1,0,1,61.75091668642939,14
gpt-oss-120b-medium,2,11,376.0,376.0,34.18363636363636,36.03363636363636,18.18,0,1,0,1,64.62320083185872,15
gpt-oss-20b-low,2,11,345.0,345.0,31.363636363636363,35.57636363636364,27.27272727272727,0,1,0,1,55.99996351496799,16
Qwen3-14B,2,11,299.0,299.0,27.180000000000003,32.05636363636364,18.18,0,1,0,1,51.99117062225222,17
Qwen3-32B,2,11,296.0,296.0,26.90727272727273,30.230909090909098,18.18,0,1,0,1,53.90572267727165,18
seed-oss_8192,2,11,295.0,295.0,26.818181818181817,29.849090909090915,18.18,0,1,0,1,56.60470292062681,19
OpenCodeReasoning-Nemotron-32B-IOI,2,11,293.0,293.0,26.636363636363637,27.71090909090909,18.18,0,1,0,1,55.907838809128556,20
QwQ-32B,2,11,290.0,290.0,26.363636363636363,30.36454545454546,18.18,0,1,0,1,54.688326614006606,21
seed-oss_16384,2,11,290.0,290.0,26.363636363636363,26.156363636363633,18.18,0,1,0,1,54.688326614006606,22
deepseek-reasoner,2,11,285.0,285.0,25.90909090909091,29.860000000000003,18.18,0,1,0,1,53.120382363135526,23
gpt-4.1,2,11,271.0,271.0,24.634545454545457,29.512727272727275,18.18,0,1,0,1,49.20188992465841,24
OlympicCoder-7B,2,11,270.0,270.0,24.545454545454547,27.735454545454548,18.18,0,1,0,1,50.15870988926793,25
gpt-oss-120b-low,2,11,263.0,263.0,23.90727272727273,25.39181818181818,18.18,0,1,0,1,57.124614626849336,26
deepseek-chat,2,11,250.0,250.0,22.725454545454543,25.24545454545455,18.18,0,1,0,1,53.11764598573435,27
Qwen3-8B,2,11,221.0,221.0,20.08909090909091,28.658181818181816,9.092727272727274,0,1,0,1,47.802688946859554,28
DeepSeek-R1-Distill-Llama-70B,2,11,193.0,193.0,17.543636363636363,22.87363636363636,9.092727272727274,0,0,1,1,49.88689640075159,29
DeepSeek-R1-Distill-Qwen-32B,2,11,175.0,175.0,15.910909090909092,26.986363636363635,0.0,0,0,1,1,46.31409964062244,30
seed-oss_4096,2,11,165.0,165.0,14.998181818181818,13.87272727272727,9.092727272727274,0,0,1,1,43.61511939726727,31
seed-oss_1024,2,11,165.0,165.0,14.998181818181818,15.116363636363639,9.092727272727274,0,0,1,1,43.61511939726727,32
DeepSeek-R1-Distill-Qwen-14B,2,11,155.0,155.0,14.092727272727274,23.72363636363636,0.0,0,0,1,1,42.82977908313115,33
seed-oss_2048,2,11,153.0,153.0,13.907272727272726,14.26,9.092727272727274,0,0,1,1,41.87295911852162,34
Qwen3-4B,2,11,125.0,125.0,11.365454545454547,17.555454545454545,0.0,0,0,1,1,40.21197803601073,35
Qwen2.5-Coder-32B-Instruct,2,11,96.0,96.0,8.729090909090909,14.85090909090909,0.0,0,0,0,0,32.25824105660653,36
Qwen3-32B-Non-Thinking,2,11,90.0,90.0,8.183636363636364,14.832727272727276,0.0,0,0,0,0,29.819216666362625,37
Llama-3.3-70B-Instruct,2,11,66.0,66.0,6.0,15.650000000000002,0.0,0,0,0,0,30.879106846416256,38
Mistral-Small-3.1-24B-2503,2,11,65.0,65.0,5.91090909090909,9.893636363636366,0.0,0,0,0,0,24.766951858000255,39
Qwen3-30B-Non-Thinking,2,11,65.0,65.0,5.91090909090909,9.670909090909092,0.0,0,0,0,0,24.766951858000255,40
Qwen3-14B-Non-Thinking,2,11,45.0,45.0,4.090909090909091,5.4818181818181815,0.0,0,0,0,0,15.424047284601492,41
Qwen2.5-Coder-14B-Instruct,2,11,45.0,45.0,4.090909090909091,4.57909090909091,0.0,0,0,0,0,15.424047284601492,42
Qwen3-30B,2,11,45.0,45.0,4.090909090909091,3.5909090909090913,0.0,0,0,0,0,15.424047284601492,43
Qwen3-8B-Non-Thinking,2,11,45.0,45.0,4.092727272727273,12.158181818181818,0.0,0,0,0,0,22.502143495630918,44
Mistral-Large-Instruct-2411,2,11,34.0,34.0,3.090909090909091,9.403636363636364,0.0,0,0,0,0,13.681887005855847,45
Qwen2.5-72B,2,11,25.0,25.0,2.272727272727273,4.6454545454545455,0.0,0,0,0,0,11.939726727110203,46
