Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gpt-oss-120b-high,13,62,4817.0,4804.0,77.48387096774194,85.5483870967742,81.93548387096776,12,1,0,13,96.13510544864363,1
grok-4-fast-reasoning,13,62,4738.0,4738.0,76.41935483870968,89.71612903225805,85.48387096774194,11,2,0,13,96.52058543085339,2
gpt-5,13,62,4817.0,4804.0,77.48387096774194,85.28580645161291,82.25806451612904,10,3,0,13,95.78199297667389,3
gpt-oss-120b-medium,13,62,4191.0,4191.0,67.59677419354838,77.99951612903226,71.61290322580645,10,3,0,13,93.73322130488329,4
gpt-oss-20b-high,13,62,4339.0,4326.0,69.7741935483871,84.66193548387096,82.25806451612904,9,4,0,13,93.85056151257685,5
gemini-2.5-pro,13,62,4293.0,4280.0,69.03225806451613,80.8041935483871,72.58064516129032,9,4,0,13,93.80336587332964,6
gpt-oss-120b_sp2,13,62,4053.0,4040.0,65.16129032258064,75.85596774193549,70.0,9,4,0,13,93.12299480571036,7
gpt-o3-mini-high,13,62,3984.0,3971.0,64.04838709677419,75.45290322580647,70.0,9,4,0,13,93.2074150200377,8
gpt-oss-120b_sp4,13,62,4197.0,4184.0,67.48387096774194,78.90935483870967,68.70967741935485,9,3,1,13,92.53412414873559,9
gpt-oss-120b_sp1,13,62,4047.0,4034.0,65.06451612903226,77.93935483870968,70.0,9,3,1,13,92.41257978659645,10
gpt-oss-120b_sp3,13,62,3987.0,3974.0,64.09677419354838,75.07532258064515,69.6774193548387,8,5,0,13,92.83766574111709,11
gpt-oss-20b-medium,13,62,3856.0,3843.0,61.983870967741936,74.55129032258063,70.88709677419355,8,5,0,13,91.13972808445303,12
gemini-2.5-flash,13,62,3756.0,3743.0,60.37096774193548,74.58354838709678,63.870967741935495,6,6,1,13,90.32659911624553,13
seed-oss_-1,13,62,3722.0,3709.0,59.82258064516129,71.94080645161291,63.548387096774206,6,6,1,13,89.65375384674596,14
claude-sonnet-4.5,13,62,3199.0,3199.0,51.596774193548384,71.61403225806451,53.2258064516129,4,7,2,13,86.2067422018074,15
gpt-oss-120b-low,13,62,3206.0,3193.0,51.5,63.725967741935484,56.451612903225815,5,5,2,12,84.36585976809182,16
seed-oss_8192,13,62,3042.0,3029.0,48.854838709677416,62.322580645161295,51.61290322580645,3,8,1,12,82.96187388233263,17
Qwen3-32B,13,62,2999.0,2999.0,48.37096774193548,63.681935483870966,51.29032258064517,3,8,1,12,83.86921830870234,18
Qwen3-14B,13,62,2761.0,2748.0,44.32258064516129,57.17596774193547,47.09677419354839,2,7,3,12,78.12324303822237,19
deepseek-reasoner,13,62,2815.0,2802.0,45.193548387096776,59.42580645161289,47.09677419354839,1,9,2,12,80.58118240816722,20
gpt-4.1,13,62,2740.0,2727.0,43.983870967741936,57.453387096774186,47.09677419354839,1,8,3,12,79.43998351479885,21
OpenCodeReasoning-Nemotron-32B-IOI,13,62,2583.0,2570.0,41.45161290322581,54.92258064516129,45.80645161290323,1,7,4,12,76.77467692500535,22
Qwen3-30B,13,62,2916.0,2903.0,46.82258064516129,59.23629032258064,51.61290322580645,3,8,0,11,80.72053433075419,23
gpt-oss-20b-low,13,62,2640.0,2640.0,42.58064516129032,55.650161290322586,48.70967741935484,3,5,3,11,74.8564420860381,24
Qwen3-8B,13,62,2324.0,2311.0,37.274193548387096,49.12806451612904,39.35483870967742,0,5,6,11,70.45600834665065,25
QwQ-32B,13,62,2374.0,2361.0,38.08064516129032,50.83451612903226,42.58064516129033,2,5,3,10,67.55738882193329,26
deepseek-chat,13,62,1967.0,1954.0,31.516129032258064,45.74983870967742,34.51612903225807,0,3,7,10,62.23434173516289,27
seed-oss_16384,13,62,2196.0,2183.0,35.20967741935484,43.86032258064515,37.096774193548384,3,5,0,8,58.32601863247549,28
DeepSeek-R1-Distill-Llama-70B,13,62,1776.0,1763.0,28.43548387096774,38.37983870967743,32.903225806451616,0,3,5,8,57.75310367661562,29
seed-oss_4096,13,62,1675.0,1662.0,26.806451612903224,37.91145161290322,32.58064516129033,0,4,3,7,54.83021983592856,30
Qwen3-4B,13,62,1638.0,1625.0,26.20967741935484,39.69774193548387,28.064516129032256,0,3,4,7,54.43960580297908,31
OlympicCoder-7B,13,62,1563.0,1550.0,25.0,36.82338709677419,28.064516129032256,0,3,3,6,48.96242745734225,32
Qwen3-32B-Non-Thinking,13,62,1238.0,1238.0,19.967741935483872,31.632258064516133,18.70967741935484,0,2,4,6,45.9833947315458,33
DeepSeek-R1-Distill-Qwen-32B,13,62,1615.0,1602.0,25.838709677419356,40.27,29.67741935483871,0,4,1,5,53.03311035148502,34
Qwen2.5-Coder-32B-Instruct,13,62,956.0,956.0,15.419354838709678,25.834999999999997,12.258064516129032,0,1,4,5,37.189204785259655,35
seed-oss_2048,13,62,1331.0,1318.0,21.258064516129032,32.67548387096774,24.516129032258068,0,4,0,4,47.17566575230876,36
DeepSeek-R1-Distill-Qwen-14B,13,62,1108.0,1095.0,17.661290322580644,26.479999999999997,18.387096774193548,0,1,2,3,38.34878636501883,37
Qwen2.5-72B,13,62,1018.0,1018.0,16.419354838709676,27.84338709677419,12.258064516129032,0,1,2,3,38.253369393192635,38
Mistral-Large-Instruct-2411,13,62,940.0,940.0,15.161290322580646,27.674516129032263,12.580645161290322,0,0,3,3,33.086126981341415,39
Qwen2.5-Coder-14B-Instruct,13,62,743.0,743.0,11.983870967741936,21.25258064516129,9.032258064516128,0,1,1,2,29.80459332826511,40
Llama-3.3-70B-Instruct,13,62,713.0,713.0,11.5,22.56548387096774,10.64516129032258,0,1,1,2,32.78351614601385,41
Qwen3-30B-Non-Thinking,13,62,957.0,957.0,15.435483870967742,25.827419354838703,14.193548387096774,0,0,2,2,34.379640982615065,42
seed-oss_0,13,62,737.0,737.0,11.887096774193548,20.751612903225805,15.806451612903228,0,0,2,2,28.103504543854623,43
Mistral-Small-3.1-24B-2503,13,62,727.0,714.0,11.516129032258064,21.215483870967745,9.35483870967742,0,0,2,2,29.61370568813135,44
seed-oss_1024,13,62,1139.0,1126.0,18.161290322580644,27.833709677419353,21.935483870967744,0,1,0,1,38.77768153458914,45
Llama-4-Scout,13,62,919.0,919.0,14.82258064516129,24.919193548387096,12.258064516129032,0,1,0,1,34.66207921789933,46
DeepSeek-Coder-V2-Lite-Instruct,13,62,582.0,569.0,9.17741935483871,15.739354838709676,3.225806451612903,0,0,1,1,19.633746156147076,47
Qwen3-4B-Non-Thinking,13,62,470.0,470.0,7.580645161290323,15.826612903225806,4.838709677419355,0,0,1,1,21.5717737028497,48
Qwen3-8B-Non-Thinking,13,62,699.0,686.0,11.064516129032258,21.220967741935482,7.741935483870968,0,0,0,0,23.493036935901102,49
seed-oss_512,13,62,662.0,649.0,10.46774193548387,18.193064516129027,12.580645161290322,0,0,0,0,24.456437337109982,50
Qwen3-14B-Non-Thinking,13,62,585.0,585.0,9.435483870967742,18.622419354838712,9.758064516129032,0,0,0,0,22.146128598046975,51
Codestral-22B-v0.1,13,62,446.0,446.0,7.193548387096774,14.994516129032256,4.516129032258064,0,0,0,0,18.28286593633653,52
Qwen2.5-Coder-7B-Instruct,13,62,305.0,305.0,4.919354838709677,10.650322580645161,4.516129032258064,0,0,0,0,15.824731019137865,53
Llama-3.1-8B-Instruct,13,62,203.0,203.0,3.274193548387097,8.10725806451613,1.6129032258064515,0,0,0,0,11.461919529530324,54
DeepSeek-R1-Distill-Llama-8B,13,62,105.0,92.0,1.4838709677419355,2.932258064516129,1.2903225806451613,0,0,0,0,11.026952279173493,55
DeepSeek-R1-Distill-Qwen-7B,5,24,0.0,0.0,0.0,0.0,0.0,0,0,0,0,12.116732116732116,56
