Model,Contest Count,Total Tasks,Total Score,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Rank
gpt-5,11,99,30213.0,88,8,88.89,91.65,9,1,1,11,1
grok-4-fast-reasoning,11,99,25621.0,70,13,70.71,77.72,9,1,1,11,2
gpt-oss-120b-high,11,99,29538.0,87,7,87.88,89.6,8,3,0,11,3
gpt-oss-120b-medium,11,99,26035.0,73,16,73.74,78.97,5,5,1,11,4
gpt-oss-120b_sp4,11,99,25855.0,74,12,74.75,78.43,5,4,2,11,5
gpt-o3-mini-high,11,99,25645.0,70,21,70.71,77.79,4,4,3,11,6
gpt-oss-120b_sp2,11,99,25964.0,74,13,74.75,78.76,4,3,4,11,7
gemini-2.5-pro,11,99,25278.0,69,19,69.7,76.68,4,3,4,11,8
gpt-oss-120b_sp3,11,99,25111.0,70,16,70.71,76.17,4,3,4,11,9
gpt-oss-20b-high,11,99,26451.0,77,6,77.78,80.23,3,5,3,11,10
gpt-oss-120b_sp1,11,99,25454.0,71,15,71.72,77.21,3,5,3,11,11
gpt-oss-20b-medium,11,99,23317.0,65,17,65.66,70.73,3,3,5,11,12
seed-oss_-1,11,99,23747.0,67,18,67.68,72.03,3,2,6,11,13
gemini-2.5-flash,11,99,22544.0,58,29,58.59,68.38,0,3,7,10,14
Qwen3-32B,11,99,17558.0,44,34,44.44,53.26,0,1,9,10,15
gpt-oss-120b-low,11,99,19139.0,50,23,50.51,58.06,1,3,5,9,16
claude-sonnet-4.5,11,99,18850.0,40,53,40.4,57.18,0,3,6,9,17
OpenCodeReasoning-Nemotron-32B-IOI,11,99,16898.0,40,30,40.4,51.26,0,1,8,9,18
seed-oss_16384,11,99,15509.0,40,19,40.4,47.04,2,2,4,8,19
seed-oss_8192,11,99,18270.0,46,28,46.46,55.42,1,3,4,8,20
deepseek-reasoner,11,99,18600.0,47,29,47.47,56.42,0,1,7,8,21
Qwen3-14B,11,99,14101.0,30,37,30.3,42.77,0,1,7,8,22
gpt-oss-20b-low,11,99,15512.0,38,32,38.38,47.05,0,2,4,6,23
Qwen3-30B,11,99,13556.0,29,39,29.29,41.12,0,2,4,6,24
QwQ-32B,11,99,14916.0,35,32,35.35,45.25,0,1,5,6,25
DeepSeek-R1-Distill-Qwen-32B,11,99,11510.0,23,38,23.23,34.91,0,0,6,6,26
Qwen3-8B,11,99,12406.0,26,38,26.26,37.63,0,1,4,5,27
DeepSeek-R1-Distill-Llama-70B,11,99,12042.0,26,35,26.26,36.53,0,1,3,4,28
seed-oss_4096,11,99,11607.0,28,24,28.28,35.21,0,1,3,4,29
gpt-4.1,11,99,12525.0,24,46,24.24,37.99,0,0,4,4,30
Qwen3-4B,11,99,9850.0,20,35,20.2,29.88,0,0,4,4,31
deepseek-chat,11,99,10958.0,22,38,22.22,33.24,0,1,2,3,32
seed-oss_512,11,99,5781.0,11,28,11.11,17.54,1,0,1,2,33
OlympicCoder-7B,11,99,8052.0,15,37,15.15,24.42,0,0,2,2,34
seed-oss_2048,11,99,7996.0,17,28,17.17,24.25,0,0,2,2,35
seed-oss_1024,11,99,6531.0,14,25,14.14,19.81,0,0,2,2,36
Qwen3-30B-Non-Thinking,11,99,6318.0,9,37,9.09,19.16,0,0,1,1,37
Llama-4-Scout,11,99,4757.0,4,44,4.04,14.43,0,0,1,1,38
seed-oss_0,11,99,3022.0,4,26,4.04,9.17,0,0,1,1,39
DeepSeek-R1-Distill-Qwen-14B,11,99,6949.0,13,25,13.13,21.08,0,0,0,0,40
Qwen3-32B-Non-Thinking,11,99,5403.0,8,33,8.08,16.39,0,0,0,0,41
Qwen3-14B-Non-Thinking,11,99,4548.0,4,39,4.04,13.8,0,0,0,0,42
Qwen2.5-Coder-32B-Instruct,11,99,4516.0,4,36,4.04,13.7,0,0,0,0,43
Llama-3.3-70B-Instruct,11,99,4137.0,3,39,3.03,12.55,0,0,0,0,44
Mistral-Large-Instruct-2411,11,99,3847.0,3,36,3.03,11.67,0,0,0,0,45
Qwen3-8B-Non-Thinking,11,99,3654.0,3,28,3.03,11.08,0,0,0,0,46
Qwen2.5-Coder-14B-Instruct,11,99,3344.0,1,40,1.01,10.14,0,0,0,0,47
Qwen2.5-72B,11,99,3131.0,2,34,2.02,9.5,0,0,0,0,48
Qwen3-4B-Non-Thinking,11,99,2555.0,3,22,3.03,7.75,0,0,0,0,49
Qwen2.5-Coder-7B-Instruct,11,99,1871.0,1,26,1.01,5.68,0,0,0,0,50
Mistral-Small-3.1-24B-2503,11,99,1817.0,0,26,0.0,5.51,0,0,0,0,51
DeepSeek-Coder-V2-Lite-Instruct,11,99,1471.0,0,26,0.0,4.46,0,0,0,0,52
Codestral-22B-v0.1,11,99,1432.0,0,21,0.0,4.34,0,0,0,0,53
DeepSeek-R1-Distill-Llama-8B,11,99,1254.0,2,5,2.02,3.8,0,0,0,0,54
Llama-3.1-8B-Instruct,11,99,551.0,0,14,0.0,1.67,0,0,0,0,55
DeepSeek-R1-Distill-Qwen-7B,6,54,18.0,0,0,0.0,0.1,0,0,0,0,56
