Model,Contest Count,Total Tasks,Total Score,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Rank
deepseek-reasoner,11,33,1545.0,1,16,3.03,14.06,0,2,1,3,1
gemini-2.5-pro,11,33,2160.0,1,22,3.03,19.66,1,0,1,2,2
gpt-o3-mini-high,11,33,2146.0,1,23,3.03,19.53,0,2,0,2,3
Qwen3-32B,11,33,1306.0,0,18,0.0,11.88,0,0,1,1,4
Qwen3-8B,11,33,982.0,0,11,0.0,8.94,0,0,1,1,5
gemini-2.5-flash,11,33,964.0,0,19,0.0,8.77,0,0,1,1,6
gpt-4.1,11,33,853.0,0,18,0.0,7.76,0,0,1,1,7
DeepSeek-R1-Distill-Llama-70B,11,33,639.0,0,11,0.0,5.81,0,0,1,1,8
Qwen3-30B,11,33,962.0,0,14,0.0,8.75,0,0,0,0,9
Qwen3-14B,11,33,868.0,0,15,0.0,7.9,0,0,0,0,10
deepseek-chat,11,33,730.0,0,11,0.0,6.64,0,0,0,0,11
QwQ-32B,11,33,565.0,0,11,0.0,5.14,0,0,0,0,12
DeepSeek-R1-Distill-Qwen-32B,11,33,475.0,0,6,0.0,4.32,0,0,0,0,13
Qwen3-4B,11,33,324.0,0,7,0.0,2.95,0,0,0,0,14
Mistral-Large-Instruct-2411,11,33,206.0,0,7,0.0,1.87,0,0,0,0,15
Qwen3-32B-Non-Thinking,11,33,184.0,0,7,0.0,1.67,0,0,0,0,16
Qwen3-30B-Non-Thinking,11,33,156.0,0,6,0.0,1.42,0,0,0,0,17
Qwen3-14B-Non-Thinking,11,33,139.0,0,4,0.0,1.26,0,0,0,0,18
Llama-3.3-70B-Instruct,11,33,122.0,0,6,0.0,1.11,0,0,0,0,19
Qwen2.5-72B,11,33,93.0,0,4,0.0,0.85,0,0,0,0,20
Llama-3.1-8B-Instruct,11,33,92.0,0,2,0.0,0.84,0,0,0,0,21
DeepSeek-R1-Distill-Qwen-14B,11,33,88.0,0,4,0.0,0.8,0,0,0,0,22
Qwen2.5-Coder-14B-Instruct,11,33,76.0,0,3,0.0,0.69,0,0,0,0,23
Qwen2.5-Coder-32B-Instruct,11,33,62.0,0,3,0.0,0.56,0,0,0,0,24
Qwen2.5-Coder-7B-Instruct,11,33,59.0,0,2,0.0,0.54,0,0,0,0,25
Mistral-Small-3.1-24B-2503,11,33,17.0,0,1,0.0,0.15,0,0,0,0,26
DeepSeek-Coder-V2-Lite-Instruct,11,33,17.0,0,1,0.0,0.15,0,0,0,0,27
Codestral-22B-v0.1,11,33,17.0,0,1,0.0,0.15,0,0,0,0,28
Qwen3-8B-Non-Thinking,11,33,0.0,0,0,0.0,0.0,0,0,0,0,29
Qwen3-4B-Non-Thinking,11,33,0.0,0,0,0.0,0.0,0,0,0,0,30
DeepSeek-R1-Distill-Qwen-7B,6,18,0.0,0,0,0.0,0.0,0,0,0,0,31
DeepSeek-R1-Distill-Llama-8B,11,33,0.0,0,0,0.0,0.0,0,0,0,0,32
