Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gpt-5,7,42,1872.0,1872.0,44.573095238095235,62.81619047619047,34.12547619047619,0,4,2,6,72.79038482534489,1
gpt-oss-120b-high,7,42,1630.0,1630.0,38.81047619047619,52.26142857142856,29.564047619047617,0,1,5,6,57.86813841578468,2
gemini-2.5-pro,7,42,1410.0,1410.0,33.57142857142857,57.75714285714285,20.23761904761905,0,1,4,5,56.234419761050226,3
gpt-oss-120b_sp2,7,42,1184.0,1184.0,28.191190476190474,44.05309523809524,23.015714285714285,0,0,5,5,49.73571806722164,4
gpt-oss-120b_sp4,7,42,1413.0,1413.0,33.64404761904762,47.23428571428571,22.620714285714286,0,0,4,4,55.820947931504456,5
gpt-oss-120b-medium,7,42,1229.0,1229.0,29.261666666666667,40.202380952380956,22.620714285714286,0,0,4,4,46.63931857315072,6
gpt-oss-20b-high,7,42,1215.0,1215.0,28.927142857142858,45.16904761904762,26.685476190476194,0,0,4,4,56.71161950722786,7
gpt-oss-120b_sp1,7,42,1201.0,1201.0,28.594761904761906,42.98619047619047,22.620714285714286,0,0,4,4,49.797081435036624,8
grok-4-fast-reasoning,7,42,1265.0,1265.0,30.118809523809524,57.889523809523816,18.847857142857144,0,1,2,3,43.593954486584416,9
gpt-oss-120b_sp3,7,42,1187.0,1187.0,28.261904761904763,41.138333333333335,22.817380952380955,0,1,2,3,47.292352508006026,10
gpt-o3-mini-high,7,42,1186.0,1186.0,28.237380952380953,48.27428571428571,18.651666666666667,0,0,3,3,50.558664479185076,11
gemini-2.5-flash,7,42,1139.0,1139.0,27.11857142857143,47.99880952380953,15.475952380952382,0,0,3,3,47.468523420823274,12
seed-oss_-1,7,42,955.0,955.0,22.738333333333333,44.60619047619046,14.285714285714285,0,0,3,3,39.640774254892115,13
seed-oss_16384,7,42,945.0,945.0,22.501190476190477,39.93119047619047,16.26904761904762,0,0,3,3,40.26622792706831,14
gpt-oss-20b-medium,7,42,968.0,968.0,23.046904761904763,37.25095238095238,20.23761904761905,0,0,2,2,37.697479057491144,15
claude-sonnet-4.5,7,42,931.0,931.0,22.166428571428572,54.64833333333333,7.142857142857142,0,0,2,2,39.84746354350832,16
