Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2023-open-t1_Ancient_Machine_2,2023-open-t1_Ancient_Machine_2_rel,2023-open-t2_Cell_Automaton,2023-open-t2_Cell_Automaton_rel,2023-open-t3_Garden,2023-open-t3_Garden_rel
gpt-5,149.00,49.67%,64.13%,33.33%,2.660,22.69,3,0.00,0.00%,49.00,49.00%,100.00,100.00%
gpt-oss-20b-high,100.00,50.00%,50.00%,50.00%,0.380,27.46,2,0.00,0.00%,N/A,N/A,100.00,100.00%
gpt-oss-120b_sp4,45.00,15.00%,28.40%,0.00%,0.920,3.29,3,0.00,0.00%,0.00,0.00%,45.00,45.00%
gpt-o3-mini-high,31.00,10.33%,43.08%,0.00%,3.137,256.70,3,0.00,0.00%,16.00,16.00%,15.00,15.00%
gemini-2.5-flash,29.00,9.67%,29.62%,0.00%,3.223,10.16,3,0.00,0.00%,29.00,29.00%,0.00,0.00%
gemini-2.5-pro,29.00,9.67%,51.61%,0.00%,3.270,7.54,3,0.00,0.00%,29.00,29.00%,0.00,0.00%
grok-4-fast-reasoning,21.00,7.00%,25.90%,0.00%,0.230,15.66,3,0.00,0.00%,0.00,0.00%,21.00,21.00%
Qwen3-32B,19.00,6.33%,36.19%,0.00%,2.563,4.79,3,0.00,0.00%,4.00,4.00%,15.00,15.00%
gpt-4.1,16.00,5.33%,32.33%,0.00%,2.427,144.48,3,0.00,0.00%,16.00,16.00%,0.00,0.00%
claude-sonnet-4.5,16.00,5.33%,50.45%,0.00%,3.210,314.45,3,0.00,0.00%,16.00,16.00%,0.00,0.00%
gpt-oss-120b_sp1,16.00,5.33%,50.15%,0.00%,3.310,97.75,3,0.00,0.00%,16.00,16.00%,0.00,0.00%
QwQ-32B,15.00,5.00%,12.67%,0.00%,0.067,1.89,3,0.00,0.00%,0.00,0.00%,15.00,15.00%
deepseek-reasoner,15.00,5.00%,13.78%,0.00%,0.130,2.50,3,0.00,0.00%,0.00,0.00%,15.00,15.00%
Qwen3-8B,15.00,5.00%,12.67%,0.00%,0.217,8.33,3,0.00,0.00%,0.00,0.00%,15.00,15.00%
Qwen3-30B,15.00,5.00%,13.78%,0.00%,0.293,1.72,3,0.00,0.00%,0.00,0.00%,15.00,15.00%
gpt-oss-120b_sp3,4.00,1.33%,27.57%,0.00%,3.213,639.79,3,0.00,0.00%,4.00,4.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
seed-oss_8192,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
OpenCodeReasoning-Nemotron-32B-IOI,0.00,0.00%,0.00%,0.00%,0.000,0.00,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,0.00,,0.00%,0.00%,0.013,0.49,3,0.00,,0.00,,0.00,
seed-oss_0,0.00,,0.00%,0.00%,0.017,0.49,3,0.00,,0.00,,0.00,
Llama-4-Scout,0.00,0.00%,0.00%,0.00%,0.047,0.50,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_16384,0.00,,10.56%,0.00%,0.047,3.52,3,0.00,,0.00,,0.00,
seed-oss_4096,0.00,,1.65%,0.00%,0.057,1.54,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,5.93%,0.00%,0.060,1.55,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,0.00,0.00%,3.17%,0.00%,0.060,1.72,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,0.00,0.00%,1.65%,0.00%,0.060,1.72,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-high,0.00,0.00%,5.93%,0.00%,0.067,10.49,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,0.00,0.00%,5.93%,0.00%,0.083,1.81,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,3.17%,0.00%,0.087,1.72,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-medium,0.00,0.00%,19.82%,0.00%,0.095,0.00,2,0.00,0.00%,N/A,N/A,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,0.00,0.00%,9.52%,0.00%,0.100,1.83,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,0.00,0.00%,3.17%,0.00%,0.103,1.72,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,0.00,0.00%,3.17%,0.00%,0.107,1.58,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-4B,0.00,0.00%,8.33%,0.00%,0.110,0.62,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,0.00,0.00%,5.93%,0.00%,0.110,2.22,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-low,0.00,0.00%,0.00%,0.00%,0.113,2.67,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-low,0.00,0.00%,4.65%,0.00%,0.113,0.95,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,0.00,0.00%,3.17%,0.00%,0.120,2.33,3,0.00,0.00%,0.00,0.00%,0.00,0.00%
