problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,seed-oss_512,RUNTIME_ERROR,0,5.41%,0.100,15.21875
2024-sp_Ski_2,seed-oss_512,RUNTIME_ERROR,0,0.00%,0.000,0
2024-sp_Spy_3,seed-oss_512,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,seed-oss_512,MEMORY_LIMIT_EXCEEDED,0,2.56%,0.620,562.29296875
2024-sp_Tricolor_Lights,seed-oss_512,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,seed-oss_512,RUNTIME_ERROR,0,12.90%,0.000,0
2024-sp_Card_Collection,seed-oss_512,RUNTIME_ERROR,0,3.10%,0.000,0
2024-sp_JOI_Tour,seed-oss_512,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tower,seed-oss_512,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Escape_Route_2,seed-oss_512,RUNTIME_ERROR,0,4.59%,0.090,3.6171875
2024-sp_Island_Hopping,seed-oss_512,RUNTIME_ERROR,2,4.31%,0.050,1.54296875
2024-sp_Table_Tennis,seed-oss_512,RUNTIME_ERROR,0,10.26%,0.070,0.00390625
