problem_id,model,solution_file,status,score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_2.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_4.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.3203125
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_5.cpp,RUNTIME_ERROR,0,0.00%,0.230,242.33203125
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_6.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.46484375
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_7.cpp,RUNTIME_ERROR,0,0.00%,0.020,3.77734375
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_0.cpp,TIME_LIMIT_EXCEEDED,20,23.17%,3.010,1056.19140625
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_1.cpp,RUNTIME_ERROR,20,23.17%,0.350,21.9140625
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_2.cpp,RUNTIME_ERROR,20,23.17%,0.390,21.9140625
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_3.cpp,RUNTIME_ERROR,68,69.51%,1.870,67.03515625
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_4.cpp,TIME_LIMIT_EXCEEDED,97,87.80%,2.970,97.7578125
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_5.cpp,RUNTIME_ERROR,20,23.17%,0.580,21.91796875
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_7.cpp,RUNTIME_ERROR,15,20.73%,0.360,33.515625
