problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,QwQ-32B,TIME_LIMIT_EXCEEDED,0,0.00%,14.10%,2.400,8.2578125
2024-sp_Ski_2,QwQ-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Spy_3,QwQ-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,QwQ-32B,RUNTIME_ERROR,3,3.00%,8.70%,0.170,4.38671875
2024-sp_Tricolor_Lights,QwQ-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,QwQ-32B,RUNTIME_ERROR,0,0.00%,38.46%,0.230,5.94140625
2024-sp_Card_Collection,QwQ-32B,RUNTIME_ERROR,0,0.00%,6.06%,0.000,0
2024-sp_JOI_Tour,QwQ-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,QwQ-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Escape_Route_2,QwQ-32B,TIME_LIMIT_EXCEEDED,0,0.00%,4.59%,2.400,7.7421875
2024-sp_Island_Hopping,QwQ-32B,RUNTIME_ERROR,2,2.00%,4.31%,0.160,0
2024-sp_Table_Tennis,QwQ-32B,RUNTIME_ERROR,0,0.00%,0.46%,0.160,0.00390625
