problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,RUNTIME_ERROR,17,33.33%,0.000,0,,17,0,0,0,0
vrsar,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
milano,ACCEPTED,110,100.00%,0.170,5.16796875,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.140,47.76171875,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bitovi,RUNTIME_ERROR,0,0.00%,0.060,2.0703125,,0,0,0,0,0
piratski,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
rolete,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,RUNTIME_ERROR,7,25.00%,0.120,2.84765625,,7,0,0,0,0
lepeze,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,45,46.76%,2.210,4.375,,10,0,35,0,0
roboti,TIME_LIMIT_EXCEEDED,0,13.64%,2.210,556.45703125,,0,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.090,2.83984375,,7,16,22,25,0
dizalo,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.070,3.91796875,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,17.57%,0.000,0,,0,0,0,0,0
zatopljenje,TIME_LIMIT_EXCEEDED,10,42.50%,2.220,2.07421875,,10,0,0,0,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,RUNTIME_ERROR,24,37.50%,0.110,2.06640625,,11,13,0,0,0
an2dl,TIME_LIMIT_EXCEEDED,29,83.33%,4.810,123.7578125,,12,17,0,0,0
kocke,MEMORY_LIMIT_EXCEEDED,0,3.33%,0.070,2.07421875,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.390,16.05078125,,13,17,0,0,0
TOTAL,,492,34.42%,,,20.00%,,,,,
