competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-5,52287,70.83%,0.46,38.25,54.25%
APIO-2023,gpt-5,132,59.68%,0.72,18.87,33.33%
APIO-2024,gpt-5,140,49.40%,0.13,8.26,33.33%
BOI-2023,gpt-5,187,63.83%,0.62,10.95,16.67%
BOI-2024,gpt-5,375,74.06%,0.19,27.21,50.00%
BOI-2025,gpt-5,209,49.26%,1.13,27.27,16.67%
CCO-2023,gpt-5,197,74.78%,0.11,30.64,68.75%
CCO-2024,gpt-5,207,72.50%,0.15,22.99,68.75%
CEOI-2023,gpt-5,185,43.68%,0.33,142.94,16.67%
CEOI-2024,gpt-5,251,71.38%,1.01,17.22,33.33%
COCI-2023,gpt-5,1955,87.18%,0.15,13.07,84.00%
COCI-2024,gpt-5,1770,82.83%,0.27,17.48,80.00%
COCI-2025,gpt-5,1747,81.52%,0.32,21.55,76.00%
EGOI-2023,gpt-5,300,37.50%,0.03,7.38,37.50%
EGOI-2024,gpt-5,600,75.00%,0.10,9.48,75.00%
EJOI-2023,gpt-5,423,73.22%,0.20,29.54,66.67%
EJOI-2024,gpt-5,505,85.08%,0.47,60.61,83.33%
IATI-2024,gpt-5,551,46.85%,0.28,20.06,36.36%
IOI-2023,gpt-5,183,42.19%,0.50,33.58,16.67%
IOI-2024,gpt-5,160,44.24%,0.33,288.14,16.67%
JOI-2023,gpt-5,951,65.10%,0.93,19.89,40.00%
JOI-2024,gpt-5,818,61.53%,1.06,26.27,25.00%
JOI-2025,gpt-5,303,68.76%,0.13,31.91,60.00%
NOINordic-2023,gpt-5,300,100.00%,0.34,45.88,100.00%
NOINordic-2024,gpt-5,161,75.19%,0.47,5.16,33.33%
NOINordic-2025,gpt-5,300,100.00%,0.66,28.51,100.00%
OOI-2023,gpt-5,1264,83.24%,0.95,68.08,58.82%
OOI-2024,gpt-5,1302,85.27%,0.89,38.63,64.71%
RMI-2023,gpt-5,517,92.40%,0.51,55.48,66.67%
RMI-2024,gpt-5,361,70.44%,0.92,22.35,50.00%
USACO-2023,gpt-5,12814,81.46%,0.18,19.49,75.00%
USACO-2024,gpt-5,13328,85.09%,0.34,34.96,75.00%
USACO-2025,gpt-5,9791,83.90%,0.37,20.02,77.78%
