Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Balancing_Bacteria,bronze_Balancing_Bacteria_rel,bronze_Cannonball,bronze_Cannonball_rel,bronze_Majority_Opinion,bronze_Majority_Opinion_rel,gold_Cowmpetency,gold_Cowmpetency_rel,gold_Nap_Sort,gold_Nap_Sort_rel,gold_Walking_in_Manhattan,gold_Walking_in_Manhattan_rel,platinum_Island_Vacation,platinum_Island_Vacation_rel,platinum_Merging_Cells,platinum_Merging_Cells_rel,platinum_Mooball_Teams_III,platinum_Mooball_Teams_III_rel,silver_Cowlendar,silver_Cowlendar_rel,silver_Cowmpetency,silver_Cowmpetency_rel,silver_Potion_Farming,silver_Potion_Farming_rel
gpt-oss-120b-high,3696.00,,93.12%,91.67%,0.351,41.19,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,33.00,,333.00,,333.00,,333.00,,333.00,,333.00,
gpt-5,3431.00,,87.70%,75.00%,0.366,38.65,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,67.00,,200.00,,333.00,,333.00,,167.00,,333.00,
gpt-oss-20b-high,2864.00,,87.57%,80.00%,0.410,20.41,10,333.00,,333.00,,333.00,,333.00,,N/A,,333.00,,33.00,,N/A,,333.00,,333.00,,167.00,,333.00,
gemini-2.5-pro,2655.00,,69.83%,50.00%,0.651,139.23,12,333.00,,333.00,,333.00,,333.00,,200.00,,140.00,,67.00,,100.00,,150.00,,333.00,,0.00,,333.00,
gpt-oss-20b-medium,2304.00,,63.61%,54.55%,0.291,27.73,11,333.00,,333.00,,333.00,,333.00,,0.00,,140.00,,33.00,,0.00,,N/A,,333.00,,133.00,,333.00,
seed-oss_-1,2292.00,,60.62%,50.00%,0.480,67.01,12,333.00,,333.00,,333.00,,37.00,,0.00,,140.00,,17.00,,100.00,,333.00,,333.00,,0.00,,333.00,
gpt-o3-mini-high,2253.00,,60.71%,41.67%,0.606,70.46,12,333.00,,333.00,,333.00,,148.00,,0.00,,140.00,,33.00,,100.00,,0.00,,333.00,,167.00,,333.00,
gpt-oss-120b-medium,2157.00,55.52%,56.33%,41.67%,1.057,41.54,12,333.00,102.46%,333.00,102.78%,333.00,103.42%,19.00,5.86%,33.00,10.00%,140.00,43.34%,33.00,10.31%,100.00,31.25%,0.00,0.00%,333.00,102.78%,167.00,50.61%,333.00,103.42%
gemini-2.5-flash,2122.00,,54.40%,41.67%,0.618,98.77,12,333.00,,333.00,,333.00,,0.00,,200.00,,140.00,,17.00,,100.00,,0.00,,333.00,,0.00,,333.00,
deepseek-reasoner,1827.00,,48.18%,33.33%,0.432,50.06,12,333.00,,333.00,,333.00,,0.00,,0.00,,140.00,,33.00,,100.00,,0.00,,222.00,,0.00,,333.00,
Qwen3-30B,1766.00,,47.69%,33.33%,0.609,51.98,12,333.00,,333.00,,333.00,,0.00,,0.00,,140.00,,0.00,,100.00,,0.00,,194.00,,0.00,,333.00,
seed-oss_8192,1700.00,,45.37%,33.33%,0.465,75.34,12,333.00,,333.00,,333.00,,0.00,,0.00,,140.00,,33.00,,100.00,,0.00,,333.00,,0.00,,95.00,
Qwen3-14B,1659.00,,45.13%,25.00%,0.683,53.07,12,333.00,,333.00,,333.00,,19.00,,0.00,,140.00,,17.00,,100.00,,0.00,,194.00,,0.00,,190.00,
Qwen3-32B,1648.00,,44.39%,33.33%,0.441,70.10,12,333.00,,333.00,,333.00,,19.00,,0.00,,140.00,,33.00,,100.00,,0.00,,333.00,,0.00,,24.00,
QwQ-32B,1445.00,,38.41%,25.00%,0.478,4.62,12,0.00,,333.00,,333.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,306.00,,0.00,,333.00,
gpt-oss-20b-low,1257.00,,37.81%,18.18%,0.470,4.74,11,333.00,,333.00,,71.00,,19.00,,0.00,,140.00,,0.00,,N/A,,0.00,,194.00,,0.00,,167.00,
DeepSeek-R1-Distill-Llama-70B,1196.00,,30.88%,8.33%,0.481,49.16,12,333.00,,259.00,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,194.00,,0.00,,310.00,
seed-oss_4096,1156.00,,29.10%,16.67%,0.254,2.67,12,231.00,,333.00,,71.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,333.00,,0.00,,48.00,
deepseek-chat,1148.00,,30.18%,16.67%,0.800,31.16,12,0.00,,333.00,,333.00,,0.00,,0.00,,140.00,,0.00,,100.00,,0.00,,194.00,,0.00,,48.00,
DeepSeek-R1-Distill-Qwen-32B,1054.00,,27.64%,8.33%,0.459,2.14,12,333.00,,315.00,,24.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,194.00,,0.00,,48.00,
Qwen3-8B,1043.00,,28.96%,16.67%,0.445,4.38,12,0.00,,333.00,,333.00,,19.00,,0.00,,140.00,,0.00,,0.00,,0.00,,194.00,,0.00,,24.00,
gpt-oss-120b-low,1024.00,,29.01%,8.33%,0.464,55.62,12,0.00,,333.00,,24.00,,19.00,,0.00,,140.00,,0.00,,100.00,,0.00,,194.00,,0.00,,214.00,
gpt-4.1,1011.00,,29.40%,8.33%,0.690,98.25,12,0.00,,333.00,,71.00,,0.00,,0.00,,140.00,,33.00,,100.00,,0.00,,167.00,,0.00,,167.00,
Qwen3-4B,858.00,,24.15%,16.67%,0.635,28.65,12,0.00,,333.00,,333.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,28.00,,0.00,,24.00,
seed-oss_2048,786.00,,19.03%,8.33%,0.439,2.30,12,0.00,,333.00,,71.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,194.00,,0.00,,48.00,
DeepSeek-R1-Distill-Qwen-14B,731.00,,20.97%,0.00%,0.441,1.77,12,205.00,,315.00,,0.00,,0.00,,0.00,,140.00,,0.00,,0.00,,0.00,,0.00,,0.00,,71.00,
