problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,6,50.00%,0.000,0,,3,3,0,0,0,0,0,0
s2,TIME_LIMIT_EXCEEDED,5,38.71%,1.170,0.00390625,,5,0,0,0,0,0,0,0
s3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,1.47%,0.040,0.00390625,,0,0,0,0,0,0,0,0
s5,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
d1p1,RUNTIME_ERROR,0,2.86%,0.170,5.1640625,,0,0,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.95%,0.100,24.76171875,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,4.81%,0.230,23.234375,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,25.89%,0.040,1.73828125,,1,0,0,0,0,0,0,0
d2p2,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
d2p3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,RUNTIME_ERROR,6,47.50%,0.040,0,,3,3,0,0,0,0,0,0
j5,RUNTIME_ERROR,2,27.78%,0.040,0,,2,0,0,0,0,0,0,0
TOTAL,,65,31.25%,,,18.75%,,,,,,,,
