Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2025-ho-t1_Grid_Coloring,2025-ho-t1_Grid_Coloring_rel,2025-ho-t2_Bitaro_the_Brave_2,2025-ho-t2_Bitaro_the_Brave_2_rel,2025-ho-t3_Mi_Teleférico,2025-ho-t3_Mi_Teleférico_rel,2025-ho-t4_Just_Long_Neckties_2,2025-ho-t4_Just_Long_Neckties_2_rel,2025-ho-t5_Post_Office,2025-ho-t5_Post_Office_rel
gpt-oss-120b_sp3,346.00,69.20%,76.95%,60.00%,0.854,31.55,5,100.00,100.00%,100.00,100.00%,100.00,100.00%,46.00,46.00%,0.00,0.00%
gpt-oss-120b_sp4,287.00,57.40%,74.39%,40.00%,1.758,283.65,5,100.00,100.00%,100.00,100.00%,38.00,38.00%,46.00,46.00%,3.00,3.00%
gpt-o3-mini-high,284.00,56.80%,76.14%,40.00%,1.434,234.73,5,100.00,100.00%,100.00,100.00%,0.00,0.00%,72.00,72.00%,12.00,12.00%
gpt-oss-120b-high,279.00,55.80%,67.66%,40.00%,1.010,53.60,5,100.00,100.00%,100.00,100.00%,30.00,30.00%,46.00,46.00%,3.00,3.00%
claude-sonnet-4.5,275.00,55.00%,76.29%,40.00%,1.776,31.98,5,100.00,100.00%,100.00,100.00%,26.00,26.00%,46.00,46.00%,3.00,3.00%
seed-oss_16384,256.00,,67.93%,40.00%,1.730,26.82,5,100.00,,100.00,,7.00,,46.00,,3.00,
seed-oss_8192,256.00,,68.44%,40.00%,1.754,22.45,5,100.00,,100.00,,7.00,,46.00,,3.00,
gemini-2.5-pro,249.00,62.25%,79.30%,50.00%,1.650,33.14,4,100.00,100.00%,100.00,100.00%,N/A,N/A,46.00,46.00%,3.00,3.00%
gemini-2.5-flash,249.00,62.25%,78.75%,50.00%,1.680,52.99,4,100.00,100.00%,100.00,100.00%,N/A,N/A,46.00,46.00%,3.00,3.00%
gpt-oss-120b_sp2,249.00,49.80%,61.79%,40.00%,0.862,24.48,5,100.00,100.00%,100.00,100.00%,0.00,0.00%,46.00,46.00%,3.00,3.00%
