competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Codestral-22B-v0.1,2879,10.25%,0.28,30.51,3.65%
APIO-2023,Codestral-22B-v0.1,26,22.29%,0.61,5.70,0.00%
APIO-2024,Codestral-22B-v0.1,0,0.00%,0.00,0.00,0.00%
BOI-2023,Codestral-22B-v0.1,8,7.75%,0.01,0.86,0.00%
BOI-2024,Codestral-22B-v0.1,1,1.98%,0.20,3.87,0.00%
BOI-2025,Codestral-22B-v0.1,0,1.54%,0.24,8.09,0.00%
CCO-2023,Codestral-22B-v0.1,65,31.25%,0.11,3.43,18.75%
CCO-2024,Codestral-22B-v0.1,91,38.79%,0.08,4.42,37.50%
CEOI-2023,Codestral-22B-v0.1,0,0.44%,0.73,0.00,0.00%
CEOI-2024,Codestral-22B-v0.1,16,20.27%,1.72,8.03,0.00%
COCI-2023,Codestral-22B-v0.1,209,15.66%,0.43,1.65,8.00%
COCI-2024,Codestral-22B-v0.1,197,18.43%,0.16,15.44,8.00%
COCI-2025,Codestral-22B-v0.1,0,0.00%,0.00,0.00,0.00%
EGOI-2023,Codestral-22B-v0.1,130,22.85%,0.03,1.95,12.50%
EGOI-2024,Codestral-22B-v0.1,0,3.27%,0.03,3.97,0.00%
EJOI-2023,Codestral-22B-v0.1,0,0.27%,0.04,14.55,0.00%
EJOI-2024,Codestral-22B-v0.1,7,8.91%,0.59,1.56,0.00%
IATI-2024,Codestral-22B-v0.1,0,2.25%,0.08,8.26,0.00%
IOI-2023,Codestral-22B-v0.1,0,0.66%,0.20,2.09,0.00%
IOI-2024,Codestral-22B-v0.1,0,2.67%,0.32,747.10,0.00%
JOI-2023,Codestral-22B-v0.1,11,10.47%,0.37,56.95,0.00%
JOI-2024,Codestral-22B-v0.1,108,7.17%,0.06,0.74,5.00%
NOINordic-2023,Codestral-22B-v0.1,29,39.46%,0.31,18.64,0.00%
NOINordic-2024,Codestral-22B-v0.1,0,0.00%,0.00,0.00,0.00%
NOINordic-2025,Codestral-22B-v0.1,0,1.83%,0.15,16.07,0.00%
OOI-2023,Codestral-22B-v0.1,325,26.29%,0.33,1.19,11.76%
OOI-2024,Codestral-22B-v0.1,282,17.53%,0.76,2.91,11.76%
RMI-2023,Codestral-22B-v0.1,0,0.00%,0.00,0.00,0.00%
RMI-2024,Codestral-22B-v0.1,32,3.31%,0.05,0.86,0.00%
USACO-2023,Codestral-22B-v0.1,519,4.72%,0.40,7.01,0.00%
USACO-2024,Codestral-22B-v0.1,706,5.84%,0.42,9.75,0.00%
USACO-2025,Codestral-22B-v0.1,117,1.95%,0.14,0.57,0.00%
