competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,706,2025,5727,1021,8323,13682,1615,357
APIO-2023,0,0,6,0,1,15,0,2
APIO-2024,0,0,2,0,19,2,0,1
BOI-2023,0,0,3,2,11,32,0,0
BOI-2024,0,0,3,2,7,36,0,0
BOI-2025,0,0,7,0,6,34,1,0
CCO-2023,21,0,18,0,28,56,5,0
CCO-2024,31,0,12,1,16,65,2,1
CEOI-2023,0,0,13,0,20,12,3,0
CEOI-2024,0,0,8,2,13,23,2,0
COCI-2023,2,0,32,7,49,104,5,1
COCI-2024,5,7,27,5,44,112,0,0
COCI-2025,0,0,0,0,0,0,0,0
EGOI-2023,2,0,6,0,7,37,11,1
EGOI-2024,0,0,3,3,6,44,8,0
EJOI-2023,0,0,14,0,16,15,2,1
EJOI-2024,0,0,11,0,18,18,0,1
IATI-2024,0,7,21,1,15,37,6,1
IOI-2023,0,0,0,2,21,23,0,2
IOI-2024,0,0,5,8,13,17,0,5
JOI-2023,0,0,23,2,49,81,4,1
JOI-2024,1,0,16,3,62,73,0,5
NOINordic-2023,0,0,1,1,5,15,2,0
NOINordic-2024,0,0,3,1,4,15,1,0
NOINordic-2025,0,0,7,0,6,11,0,0
OOI-2023,2,0,24,12,2,56,39,1
OOI-2024,2,0,19,3,0,67,43,2
RMI-2023,0,0,0,0,39,3,6,0
RMI-2024,0,0,5,1,9,28,5,0
USACO-2023,0,73,85,20,77,126,0,3
USACO-2024,0,61,105,11,101,104,0,2
USACO-2025,0,38,54,11,123,60,0,2
