problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.100,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,4.35%,0.020,0.00390625,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,0,5.88%,2.410,33.86328125,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,5.56%,0.000,0,,0,0,0,0,0,0
zid,ACCEPTED,70,100.00%,0.170,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,1.240,12.8984375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,0,12.77%,2.420,613.703125,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,15,27.72%,4.210,161.8203125,,0,15,0,0,0,0
sah,ACCEPTED,50,100.00%,0.030,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.060,3.90234375,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,27,12.90%,0.080,6.71484375,,0,27,0,0,0,0
tura,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
paradoks,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,29,42.86%,0.070,0.00390625,,6,0,23,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,25,37.21%,2.410,178.15625,,25,0,0,0,0,0
blistavost,RUNTIME_ERROR,75,65.57%,0.100,2.8671875,,0,0,55,20,0,0
trokuti,RUNTIME_ERROR,13,25.00%,0.090,18.0546875,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.090,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.460,16.171875,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,3.28%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,3.23%,0.000,0,,0,0,0,0,0,0
TOTAL,,744,41.85%,,,32.00%,,,,,,
