problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.140,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,4.35%,0.070,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.070,0,,21,13,16,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,66.67%,1.220,2.9296875,,17,21,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,18,38.89%,2.230,89.0234375,,7,11,0,0,0,0
crtez,TIME_LIMIT_EXCEEDED,0,8.51%,2.210,2.453125,,0,0,0,0,0,0
stablo,RUNTIME_ERROR,0,0.99%,3.800,291.26171875,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,0.090,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.180,5.921875,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.070,2.58203125,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,5.13%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,23,30.61%,0.090,0.00390625,,0,0,23,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,47,74.42%,2.240,9.01953125,,25,13,9,0,0,0
blistavost,RUNTIME_ERROR,0,13.11%,0.080,0.00390625,,0,0,0,0,0,0
trokuti,RUNTIME_ERROR,13,25.00%,0.130,3.87109375,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.170,12.125,,20,25,25,0,0,0
hijerarhija,TIME_LIMIT_EXCEEDED,67,83.33%,3.350,20.13671875,,7,12,16,15,0,17
uciteljica,RUNTIME_ERROR,0,3.28%,0.080,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,15,33.87%,0.000,0,,0,0,0,15,0,0
TOTAL,,581,39.56%,,,24.00%,,,,,,
