problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,3.77%,0.030,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,0.080,7.9765625,,0.0,14.0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.030,3.1015625,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.390,0.00390625,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,14.29%,0.310,14.953125,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,5,23.08%,4.420,8.7890625,,0,0,0,0,0,5.0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,60,52.82%,0.080,9.2890625,,0.0,23.0,0,0,0,10.0,16.0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,0.150,1.81640625,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,RUNTIME_ERROR,0,21.00%,0.080,7.484375,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,RUNTIME_ERROR,13,10.11%,0.060,2.84375,,0,0,0,0,0,13.0,0,0,0,0,0,0,0
Repainting_the_Table,TIME_LIMIT_EXCEEDED,72,86.84%,1.660,42.77734375,,0.0,17.0,0,0,0,21.0,34.0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,0.620,141.54296875,,0.0,10.0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,55,92.16%,2.210,100.390625,,0.0,8.0,0,0,0,7.0,9.0,0,8.0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.390,2.87890625,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,15,60.19%,2.210,16.97265625,,0.0,8.0,0,0,0,7.0,0,0,0,0,0,0,0
Ultrafast_train,RUNTIME_ERROR,68,98.88%,0.100,11.17578125,,0.0,17.0,0,0,0,13.0,12.0,26.0,0,0,0,0,0
TOTAL,,792,57.42%,,,29.41%,,,,,,,,,,,,,
