problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.050,0,,11,39,0,0,0
dirigent,TIME_LIMIT_EXCEEDED,35,50.00%,60.71%,1.210,1.5390625,,15,20,0,0,0
baltazar,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
bomboni,MEMORY_LIMIT_EXCEEDED,63,57.27%,60.00%,0.280,600.57421875,,13,17,33,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,28.57%,22.00%,2.410,2.07421875,,20,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,0.00%,2.50%,0.040,0.00390625,,0,0,0,0,0
zastave,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,15,21.43%,20.00%,0.050,0,,15,0,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsta,TIME_LIMIT_EXCEEDED,19,17.27%,20.00%,1.270,430.5546875,,19,0,0,0,0
tramvaji,RUNTIME_ERROR,25,50.00%,50.00%,0.050,0.00390625,,12,13,0,0,0
ekspert,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,0,0.00%,2.38%,3.610,4.390625,,0,0,0,0,0
prijateljice,RUNTIME_ERROR,0,0.00%,8.00%,0.000,0,,0,0,0,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,RUNTIME_ERROR,0,0.00%,0.00%,0.880,2.07421875,,0,0,0,0,0
berilij,RUNTIME_ERROR,0,0.00%,2.27%,0.180,4.38671875,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
neboderi,TIME_LIMIT_EXCEEDED,33,30.00%,38.89%,2.980,9.03515625,,11,22,0,0,0
TOTAL,,360,,23.74%,,,12.00%,,,,,
