competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Llama-4-Scout,7143,16.44%,0.48,77.38,5.53%
APIO-2023,Llama-4-Scout,15,20.31%,0.65,5.84,0.00%
APIO-2024,Llama-4-Scout,5,5.95%,0.14,408.14,0.00%
BOI-2023,Llama-4-Scout,20,18.33%,0.00,0.65,0.00%
BOI-2024,Llama-4-Scout,22,16.60%,0.10,84.29,0.00%
BOI-2025,Llama-4-Scout,0,1.54%,0.03,8.79,0.00%
CCO-2023,Llama-4-Scout,62,30.91%,0.10,2.73,18.75%
CCO-2024,Llama-4-Scout,96,40.59%,0.36,3.55,37.50%
CEOI-2023,Llama-4-Scout,0,0.00%,0.00,0.00,0.00%
CEOI-2024,Llama-4-Scout,0,5.72%,0.05,6.03,0.00%
COCI-2023,Llama-4-Scout,378,25.62%,0.34,1.47,16.67%
COCI-2024,Llama-4-Scout,451,30.42%,0.54,5.51,20.00%
COCI-2025,Llama-4-Scout,338,23.04%,0.67,18.94,8.00%
EGOI-2023,Llama-4-Scout,19,6.35%,0.07,154.77,0.00%
EGOI-2024,Llama-4-Scout,28,20.54%,0.02,2.23,0.00%
EJOI-2023,Llama-4-Scout,20,5.95%,0.42,2.11,0.00%
EJOI-2024,Llama-4-Scout,7,6.25%,0.66,4.27,0.00%
IATI-2024,Llama-4-Scout,20,4.65%,0.15,30.67,0.00%
IOI-2023,Llama-4-Scout,5,5.35%,0.32,6.96,0.00%
IOI-2024,Llama-4-Scout,29,15.29%,0.81,816.35,0.00%
JOI-2023,Llama-4-Scout,6,8.18%,0.34,1.03,0.00%
JOI-2024,Llama-4-Scout,15,9.24%,0.62,2.60,0.00%
JOI-2025,Llama-4-Scout,56,27.68%,0.43,238.90,0.00%
NOINordic-2023,Llama-4-Scout,107,55.60%,2.38,115.85,33.33%
NOINordic-2024,Llama-4-Scout,23,30.05%,0.41,9.45,0.00%
NOINordic-2025,Llama-4-Scout,0,3.69%,2.01,409.37,0.00%
OOI-2023,Llama-4-Scout,261,21.06%,0.23,1.00,11.76%
OOI-2024,Llama-4-Scout,240,19.03%,0.49,33.21,5.88%
RMI-2023,Llama-4-Scout,0,0.00%,0.00,0.00,0.00%
RMI-2024,Llama-4-Scout,100,24.69%,0.06,28.83,16.67%
USACO-2023,Llama-4-Scout,2366,18.87%,1.18,27.47,6.25%
USACO-2024,Llama-4-Scout,1747,14.76%,0.85,22.39,2.08%
USACO-2025,Llama-4-Scout,707,9.83%,0.97,22.71,0.00%
