problem_id,model,solution_file,status,score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,seed-oss_1024,abc_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_1024,abc_seed-oss_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_1024,abc_seed-oss_2.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_1024,abc_seed-oss_3.cpp,RUNTIME_ERROR,0,0.00%,0.180,14.296875
APIO-2023-contest-abc,seed-oss_1024,abc_seed-oss_4.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_1024,abc_seed-oss_5.cpp,RUNTIME_ERROR,0,0.00%,0.160,232.16015625
APIO-2023-contest-abc,seed-oss_1024,abc_seed-oss_6.cpp,UNKNOWN,0,0.00%,0.000,0
APIO-2023-contest-abc,seed-oss_1024,abc_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-cyberland,seed-oss_1024,cyberland_seed-oss_0.cpp,MEMORY_LIMIT_EXCEEDED,20,23.17%,0.960,2456.4375
APIO-2023-contest-cyberland,seed-oss_1024,cyberland_seed-oss_1.cpp,RUNTIME_ERROR,20,23.17%,0.160,20.578125
APIO-2023-contest-cyberland,seed-oss_1024,cyberland_seed-oss_2.cpp,UNKNOWN,0,0.00%,0.000,0
APIO-2023-contest-cyberland,seed-oss_1024,cyberland_seed-oss_3.cpp,RUNTIME_ERROR,15,20.73%,0.220,21.91796875
APIO-2023-contest-cyberland,seed-oss_1024,cyberland_seed-oss_4.cpp,UNKNOWN,0,0.00%,0.000,0
APIO-2023-contest-cyberland,seed-oss_1024,cyberland_seed-oss_5.cpp,RUNTIME_ERROR,20,23.17%,0.380,21.91796875
APIO-2023-contest-cyberland,seed-oss_1024,cyberland_seed-oss_6.cpp,RUNTIME_ERROR,20,23.17%,0.280,21.91796875
APIO-2023-contest-cyberland,seed-oss_1024,cyberland_seed-oss_7.cpp,RUNTIME_ERROR,20,23.17%,0.400,21.91796875
APIO-2023-contest-sequence,seed-oss_1024,sequence_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-sequence,seed-oss_1024,sequence_seed-oss_1.cpp,TIME_LIMIT_EXCEEDED,0,15.73%,1.830,48.484375
APIO-2023-contest-sequence,seed-oss_1024,sequence_seed-oss_2.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,1.860,23.82421875
APIO-2023-contest-sequence,seed-oss_1024,sequence_seed-oss_3.cpp,RUNTIME_ERROR,0,10.59%,0.090,6.4375
APIO-2023-contest-sequence,seed-oss_1024,sequence_seed-oss_4.cpp,UNKNOWN,0,0.00%,0.000,0
APIO-2023-contest-sequence,seed-oss_1024,sequence_seed-oss_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-sequence,seed-oss_1024,sequence_seed-oss_6.cpp,TIME_LIMIT_EXCEEDED,0,8.24%,1.800,35.11328125
APIO-2023-contest-sequence,seed-oss_1024,sequence_seed-oss_7.cpp,TIME_LIMIT_EXCEEDED,0,8.24%,1.810,18.05078125
APIO-2024-contest-september,seed-oss_1024,september_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-september,seed-oss_1024,september_seed-oss_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-september,seed-oss_1024,september_seed-oss_2.cpp,RUNTIME_ERROR,0,0.00%,0.210,23.1171875
APIO-2024-contest-september,seed-oss_1024,september_seed-oss_3.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,1.230,28.625
APIO-2024-contest-september,seed-oss_1024,september_seed-oss_4.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.070,0.00390625
APIO-2024-contest-september,seed-oss_1024,september_seed-oss_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-september,seed-oss_1024,september_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-september,seed-oss_1024,september_seed-oss_7.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,1.230,7.4296875
APIO-2024-contest-show,seed-oss_1024,show_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,seed-oss_1024,show_seed-oss_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,seed-oss_1024,show_seed-oss_2.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,seed-oss_1024,show_seed-oss_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,seed-oss_1024,show_seed-oss_4.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
