Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Astral_Superposition,bronze_Astral_Superposition_rel,bronze_Cow_Checkups,bronze_Cow_Checkups_rel,bronze_Its_Mooin_Time_II,bronze_Its_Mooin_Time_II_rel,gold_Median_Heap,gold_Median_Heap_rel,gold_Photo_Op,gold_Photo_Op_rel,gold_Reachable_Pairs,gold_Reachable_Pairs_rel,platinum_DFS_Order,platinum_DFS_Order_rel,platinum_Shock_Wave,platinum_Shock_Wave_rel,platinum_Watering_the_Plants,platinum_Watering_the_Plants_rel,silver_Cow_Checkups,silver_Cow_Checkups_rel,silver_Farmer_Johns_Favorite_Operation,silver_Farmer_Johns_Favorite_Operation_rel,silver_Table_Recovery,silver_Table_Recovery_rel
gpt-5,3310.00,,84.97%,75.00%,0.570,19.14,12,333.00,,333.00,,333.00,,333.00,,200.00,,333.00,,333.00,,51.00,,62.00,,333.00,,333.00,,333.00,
gpt-oss-120b-high,2762.00,,72.76%,66.67%,0.309,16.55,12,333.00,,333.00,,333.00,,333.00,,22.00,,50.00,,333.00,,26.00,,0.00,,333.00,,333.00,,333.00,
gpt-oss-120b-medium,2740.00,69.92%,70.31%,66.67%,0.169,16.06,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,50.00,15.62%,333.00,104.06%,26.00,8.00%,0.00,0.00%,333.00,104.06%,333.00,100.91%,333.00,102.78%
gpt-oss-20b-medium,2381.00,,62.50%,58.33%,0.144,17.11,12,333.00,,333.00,,333.00,,333.00,,0.00,,50.00,,333.00,,0.00,,0.00,,333.00,,333.00,,0.00,
gpt-oss-20b-high,2331.00,,100.00%,100.00%,0.159,16.68,7,333.00,,333.00,,333.00,,333.00,,N/A,,N/A,,333.00,,N/A,,N/A,,333.00,,333.00,,N/A,
gpt-o3-mini-high,2299.00,,61.08%,50.00%,0.691,30.64,12,333.00,,333.00,,333.00,,333.00,,0.00,,50.00,,117.00,,51.00,,0.00,,333.00,,333.00,,83.00,
gemini-2.5-pro,2121.00,,55.83%,50.00%,0.403,26.75,12,333.00,,333.00,,333.00,,333.00,,0.00,,67.00,,0.00,,0.00,,0.00,,333.00,,333.00,,56.00,
gemini-2.5-flash,1898.00,,50.29%,41.67%,0.710,55.95,12,333.00,,333.00,,333.00,,133.00,,67.00,,33.00,,0.00,,0.00,,0.00,,333.00,,333.00,,0.00,
seed-oss_-1,1848.00,,48.60%,41.67%,0.108,40.01,12,333.00,,333.00,,333.00,,133.00,,0.00,,50.00,,0.00,,0.00,,0.00,,333.00,,333.00,,0.00,
gpt-oss-120b-low,1815.00,,46.57%,41.67%,0.357,20.40,12,333.00,,333.00,,333.00,,0.00,,0.00,,33.00,,117.00,,0.00,,0.00,,333.00,,333.00,,0.00,
seed-oss_16384,1615.00,,43.19%,33.33%,0.103,13.45,12,233.00,,333.00,,333.00,,0.00,,0.00,,50.00,,0.00,,0.00,,0.00,,333.00,,333.00,,0.00,
deepseek-reasoner,1557.00,,41.68%,33.33%,0.699,30.96,12,33.00,,333.00,,333.00,,133.00,,0.00,,33.00,,0.00,,26.00,,0.00,,333.00,,333.00,,0.00,
QwQ-32B,1398.00,,36.88%,33.33%,0.193,13.62,12,33.00,,333.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,333.00,,333.00,,0.00,
seed-oss_8192,1298.00,,34.71%,25.00%,0.480,10.80,12,33.00,,333.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,233.00,,333.00,,0.00,
Qwen3-14B,1165.00,,31.81%,25.00%,0.407,8.40,12,33.00,,333.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,100.00,,333.00,,0.00,
Qwen3-32B,1131.00,,31.82%,25.00%,0.511,13.48,12,33.00,,333.00,,333.00,,0.00,,22.00,,33.00,,0.00,,0.00,,0.00,,333.00,,44.00,,0.00,
gpt-oss-20b-low,1032.00,,27.00%,25.00%,0.282,13.53,12,0.00,,333.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,,333.00,,0.00,
Qwen3-8B,999.00,,28.30%,25.00%,0.307,9.02,12,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,333.00,,0.00,
gpt-4.1,808.00,,25.16%,8.33%,0.853,42.38,12,33.00,,100.00,,200.00,,0.00,,0.00,,83.00,,0.00,,26.00,,0.00,,33.00,,333.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,721.00,,19.74%,8.33%,0.520,25.62,12,33.00,,300.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,,22.00,,0.00,
Qwen3-30B,521.00,,17.63%,8.33%,0.313,15.73,12,33.00,,333.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,100.00,,22.00,,0.00,
seed-oss_4096,499.00,,14.99%,8.33%,0.256,9.01,12,33.00,,0.00,,333.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,444.00,,14.62%,8.33%,0.381,27.66,12,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,44.00,,0.00,
Qwen3-4B,334.00,,12.37%,0.00%,0.674,26.03,12,0.00,,267.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,333.00,,11.10%,8.33%,0.228,19.43,12,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,294.00,,12.46%,0.00%,1.084,11.48,12,33.00,,100.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,,17.00,,44.00,,0.00,
Llama-3.3-70B-Instruct,272.00,,11.31%,0.00%,0.845,27.44,12,33.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,22.00,,0.00,
deepseek-chat,266.00,,10.53%,0.00%,0.448,7.66,12,33.00,,100.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
Qwen2.5-72B,255.00,,10.22%,0.00%,0.896,23.82,12,33.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,22.00,,0.00,
Qwen2.5-Coder-14B-Instruct,250.00,,10.27%,0.00%,0.856,5.16,12,33.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,
Llama-4-Scout,239.00,,9.92%,0.00%,0.822,16.57,12,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,22.00,,0.00,
Mistral-Small-3.1-24B-2503,233.00,,9.91%,0.00%,0.824,6.43,12,33.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,217.00,,8.88%,0.00%,1.009,3.13,12,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,177.00,,8.11%,0.00%,0.611,26.67,12,33.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,44.00,,0.00,
Qwen3-30B-Non-Thinking,166.00,,7.27%,0.00%,0.472,8.01,12,33.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,166.00,,6.52%,0.00%,0.504,5.37,12,33.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,150.00,,5.68%,0.00%,0.621,2.65,12,0.00,,33.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,
seed-oss_2048,133.00,,7.24%,0.00%,0.249,6.06,12,33.00,,0.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,133.00,,6.55%,0.00%,0.506,14.00,12,33.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,117.00,,5.85%,0.00%,0.399,1.56,12,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,100.00,,4.76%,0.00%,0.224,3.31,12,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,66.00,,3.95%,0.00%,0.251,4.54,12,33.00,,0.00,,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,33.00,,1.94%,0.00%,0.028,1.54,12,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,33.00,,2.70%,0.00%,0.053,7.23,12,33.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,0.92%,0.00%,0.237,4.00,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
