problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,0.080,6.7109375,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,0.040,4.39453125,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.090,27.23046875,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,0.560,123.55078125,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.050,0.00390625,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.020,0.00390625,,20,40,50,0,0
rolete,ACCEPTED,110,100.00%,0.050,5.94140625,,16,26,32,36,0
trokut,RUNTIME_ERROR,0,0.00%,0.020,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.030,4.39453125,,7,27,36,0,0
lepeze,ACCEPTED,110,100.00%,0.290,14.4453125,,12,16,30,12,40
putovanje,ACCEPTED,110,100.00%,0.510,6.30859375,,10,20,35,45,0
roboti,ACCEPTED,110,100.00%,0.530,86.72265625,,10,13,49,38,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.020,6.19140625,,7,16,22,25,0
dizalo,ACCEPTED,110,100.00%,0.080,9.28515625,,16,19,29,46,0
kuglice,ACCEPTED,110,100.00%,0.040,18.57421875,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.130,12.125,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.020,2.32421875,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,0.620,96.11328125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.000,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.650,12.640625,,13,17,0,0,0
TOTAL,,1770,82.83%,,,80.00%,,,,,
