Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,baltazar,baltazar_rel,bomboni,bomboni_rel,dirigent,dirigent_rel,estimathon,estimathon_rel,skrivaca,skrivaca_rel
gpt-5,450.00,100.00%,100.00%,100.00%,0.216,27.91,5,110.00,100.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,110.00,100.00%
gpt-oss-120b_sp4,410.00,92.73%,94.89%,80.00%,0.248,30.61,5,110.00,100.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,70.00,63.64%
gpt-oss-120b_sp1,370.00,85.45%,86.56%,80.00%,0.198,31.35,5,30.00,27.27%,110.00,100.00%,70.00,100.00%,50.00,100.00%,110.00,100.00%
gpt-oss-20b-medium,370.00,85.45%,86.56%,80.00%,0.228,26.31,5,30.00,27.27%,110.00,100.00%,70.00,100.00%,50.00,100.00%,110.00,100.00%
gpt-oss-120b-medium,370.00,85.45%,86.56%,80.00%,0.248,31.59,5,30.00,27.27%,110.00,100.00%,70.00,100.00%,50.00,100.00%,110.00,100.00%
gpt-oss-120b-high,340.00,80.00%,80.00%,80.00%,0.128,17.80,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,110.00,100.00%
gpt-oss-20b-high,340.00,80.00%,80.00%,80.00%,0.138,11.30,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,110.00,100.00%
gpt-o3-mini-high,340.00,80.00%,80.00%,80.00%,0.152,12.60,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,110.00,100.00%
grok-4-fast-reasoning,340.00,80.00%,80.00%,80.00%,0.158,22.82,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,110.00,100.00%
gemini-2.5-pro,340.00,80.00%,83.83%,80.00%,0.192,22.11,5,110.00,100.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,0.00,0.00%
seed-oss_-1,290.00,70.91%,71.24%,60.00%,0.192,22.29,5,30.00,27.27%,110.00,100.00%,70.00,100.00%,50.00,100.00%,30.00,27.27%
gpt-oss-120b_sp2,285.00,70.00%,70.21%,60.00%,0.092,18.28,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,55.00,50.00%
deepseek-reasoner,260.00,65.45%,65.11%,60.00%,0.586,24.29,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,30.00,27.27%
claude-sonnet-4.5,260.00,65.45%,77.61%,60.00%,1.516,105.62,5,15.00,13.64%,110.00,100.00%,70.00,100.00%,50.00,100.00%,15.00,13.64%
gpt-oss-120b_sp3,255.00,64.55%,68.94%,60.00%,0.172,19.61,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,25.00,22.73%
QwQ-32B,245.00,,72.50%,60.00%,1.062,14.18,5,15.00,,110.00,,70.00,,50.00,,0.00,
Qwen3-14B,245.00,62.73%,72.50%,60.00%,1.062,13.73,5,15.00,13.64%,110.00,100.00%,70.00,100.00%,50.00,100.00%,0.00,0.00%
Qwen3-32B,245.00,,72.93%,60.00%,1.494,15.91,5,15.00,,110.00,,70.00,,50.00,,0.00,
Qwen3-30B,245.00,,72.93%,60.00%,1.502,14.80,5,15.00,,110.00,,70.00,,50.00,,0.00,
gemini-2.5-flash,245.00,62.73%,72.93%,60.00%,1.514,106.03,5,15.00,13.64%,110.00,100.00%,70.00,100.00%,50.00,100.00%,0.00,0.00%
gpt-oss-20b-low,230.00,60.00%,60.00%,60.00%,0.084,4.54,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,0.00,0.00%
gpt-oss-120b-low,230.00,60.00%,60.00%,60.00%,0.110,6.20,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,0.00,0.00%
OpenCodeReasoning-Nemotron-32B-IOI,230.00,60.00%,60.00%,60.00%,0.132,24.03,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,230.00,,60.00%,60.00%,0.184,15.73,5,0.00,,110.00,,70.00,,50.00,,0.00,
gpt-4.1,230.00,60.00%,62.81%,60.00%,1.040,21.73,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,0.00,0.00%
Qwen3-4B,230.00,60.00%,69.38%,60.00%,1.106,108.54,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,0.00,0.00%
Qwen3-8B,230.00,60.00%,69.38%,60.00%,1.130,110.44,5,0.00,0.00%,110.00,100.00%,70.00,100.00%,50.00,100.00%,0.00,0.00%
OlympicCoder-7B,198.00,54.18%,64.50%,40.00%,1.028,11.57,5,15.00,13.64%,63.00,57.27%,70.00,100.00%,50.00,100.00%,0.00,0.00%
deepseek-chat,180.00,45.71%,52.86%,40.00%,0.158,54.84,5,0.00,0.00%,110.00,100.00%,20.00,28.57%,50.00,100.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,163.00,,52.98%,20.00%,1.242,110.90,5,15.00,,63.00,,35.00,,50.00,,0.00,
seed-oss_8192,160.00,,40.00%,40.00%,0.050,5.88,5,0.00,,110.00,,0.00,,50.00,,0.00,
Qwen3-32B-Non-Thinking,160.00,40.00%,40.00%,40.00%,0.144,42.21,5,0.00,0.00%,110.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,160.00,40.00%,40.71%,40.00%,0.350,40.33,5,0.00,0.00%,110.00,100.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,148.00,41.45%,44.14%,20.00%,0.308,120.42,5,0.00,0.00%,63.00,57.27%,35.00,50.00%,50.00,100.00%,0.00,0.00%
Mistral-Large-Instruct-2411,148.00,41.45%,49.14%,20.00%,1.258,126.86,5,0.00,0.00%,63.00,57.27%,35.00,50.00%,50.00,100.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,143.00,38.47%,50.84%,20.00%,1.270,127.54,5,15.00,13.64%,63.00,57.27%,15.00,21.43%,50.00,100.00%,0.00,0.00%
Qwen2.5-72B,107.00,,33.61%,0.00%,0.280,4.86,5,0.00,,33.00,,35.00,,39.00,,0.00,
Qwen3-30B-Non-Thinking,104.00,31.05%,33.48%,0.00%,0.622,124.68,5,0.00,0.00%,30.00,27.27%,35.00,50.00%,39.00,78.00%,0.00,0.00%
Llama-3.3-70B-Instruct,96.00,,30.40%,20.00%,0.512,109.06,5,0.00,,46.00,,0.00,,50.00,,0.00,
Llama-4-Scout,85.00,30.00%,32.14%,20.00%,0.252,0.00,5,0.00,0.00%,0.00,0.00%,35.00,50.00%,50.00,100.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,85.00,30.00%,32.94%,20.00%,0.332,120.73,5,0.00,0.00%,0.00,0.00%,35.00,50.00%,50.00,100.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,80.00,25.45%,28.00%,20.00%,0.398,122.69,5,0.00,0.00%,30.00,27.27%,0.00,0.00%,50.00,100.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,50.00,,20.00%,20.00%,0.000,0.00,5,0.00,,0.00,,0.00,,50.00,,0.00,
Qwen2.5-Coder-7B-Instruct,50.00,20.00%,20.00%,20.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,50.00,100.00%,0.00,0.00%
seed-oss_1024,50.00,,20.00%,20.00%,0.000,0.00,5,0.00,,0.00,,0.00,,50.00,,0.00,
seed-oss_512,50.00,,20.00%,20.00%,0.012,0.31,5,0.00,,0.00,,0.00,,50.00,,0.00,
seed-oss_2048,50.00,,20.00%,20.00%,0.024,2.79,5,0.00,,0.00,,0.00,,50.00,,0.00,
seed-oss_0,50.00,,20.00%,20.00%,0.036,3.56,5,0.00,,0.00,,0.00,,50.00,,0.00,
seed-oss_4096,50.00,,20.71%,20.00%,0.268,5.37,5,0.00,,0.00,,0.00,,50.00,,0.00,
Llama-3.1-8B-Instruct,39.00,15.60%,16.00%,0.00%,0.018,1.77,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,39.00,78.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,39.00,15.60%,16.00%,0.00%,0.040,3.87,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,39.00,78.00%,0.00,0.00%
Codestral-22B-v0.1,39.00,15.60%,16.80%,0.00%,0.128,4.27,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,39.00,78.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,39.00,15.60%,13.73%,0.00%,0.354,0.98,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,39.00,78.00%,0.00,0.00%
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,2,0.00,0.00%,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,5,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
