problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_15,subtask_16,subtask_17,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
platinum_Forklift_Certified,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Lazy_Sort,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Moo_Decomposition,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Election_Queries,TIME_LIMIT_EXCEEDED,0,0.00%,6.67%,3.670,13.15234375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_OohMoo_Milk,TIME_LIMIT_EXCEEDED,59,18.27%,25.00%,2.530,5.19921875,,0,19.6078431372549,0,0,0,0,0,0,0,0,19.6078431372549,19.6078431372549,0,0,0,0,0,0
silver_Compatible_Pairs,RUNTIME_ERROR,33,10.00%,8.33%,0.310,22.6953125,,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Ski_Slope,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Hoof_Paper_Scissors_Minus_One,TIME_LIMIT_EXCEEDED,152,46.06%,50.00%,3.610,56.47265625,,0,30.3030303030303,0,0,0,0,0,0,0,0,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,0,0,0,0
bronze_More_Cow_Photos,WRONG_ANSWER,0,0.00%,0.00%,0.190,1.86328125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Its_Mooin_Time_III,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_DFS_Order,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Shock_Wave,WRONG_ANSWER,0,0.00%,0.00%,0.160,2.125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Watering_the_Plants,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.230,15.9921875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Median_Heap,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Reachable_Pairs,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Photo_Op,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Cow_Checkups,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Farmer_Johns_Favorite_Operation,TIME_LIMIT_EXCEEDED,44,13.33%,18.75%,2.470,4.39453125,,0,22.22222222222222,0,0,0,0,0,0,0,0,22.22222222222222,0,0,0,0,0,0,0
silver_Table_Recovery,RUNTIME_ERROR,0,0.00%,6.67%,0.310,8.9140625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Astral_Superposition,WRONG_ANSWER,33,10.00%,16.67%,0.170,2.6640625,,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Its_Mooin_Time_II,MEMORY_LIMIT_EXCEEDED,0,0.00%,9.09%,1.520,306.3046875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Cow_Checkups,TIME_LIMIT_EXCEEDED,100,30.30%,46.15%,2.420,1.55859375,,0,33.33333333333333,0,0,0,0,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0
platinum_Min_Max_Subarrays,TIME_LIMIT_EXCEEDED,0,0.00%,15.38%,3.600,169.234375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Transforming_Pairs,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_True_or_False_Test,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Bessies_Function,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_The_Best_Subsequence,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Friendship_Editing,TIME_LIMIT_EXCEEDED,44,13.33%,27.78%,2.480,0.00390625,,0,22.22222222222222,0,0,0,0,0,0,0,0,22.22222222222222,0,0,0,0,0,0,0
silver_The_Best_Lineup,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.420,3.6171875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Vocabulary_Quiz,RUNTIME_ERROR,0,0.00%,5.56%,0.460,108.40234375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
