problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.130,9.03515625,,2,1,2,5,5,0,0
s2,RUNTIME_ERROR,0,14.81%,0.070,0.00390625,,0,0,0,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,0.090,13.75,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,1.77%,0.060,2.84375,,0,0,0,0,0,0,0
d1p1,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.00%,0.360,71.046875,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.85%,0.250,35.23828125,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,1.15%,4.410,45.1875,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.050,1.71484375,,15,0,0,0,0,0,0
j3,RUNTIME_ERROR,6,22.22%,0.060,2.328125,,6,0,0,0,0,0,0
j4,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.050,1.55859375,,1,4,5,5,0,0,0
TOTAL,,66,27.55%,,,25.00%,,,,,,,
